Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;MMA001;2021-10-10;11:00;0062509;OLYMPIQUES ANTIBES JUAN PINS;0066927;NICE VOLLEY-BALL; 2/1;20-25,25-23,15-7;60-55;BERTONE;MAZEAU RICHARD;LEBONNOIS NOAM;;
ACJEUNES;01;MMA002;2021-10-10;00:00;0066927;NICE VOLLEY-BALL;0132351;SALON VOLLEY; 2/0;25-23,25-19;50-42;BERTONE;MAZEAU RICHARD;LEBONNOIS NOAM;;
ACJEUNES;01;MMA003;2021-10-10;00:00;0062509;OLYMPIQUES ANTIBES JUAN PINS;0132351;SALON VOLLEY; 2/1;11-25,25-22,15-7;51-54;BERTONE;LEBONNOIS NOAM;MAZEAU RICHARD;;
ACJEUNES;01;MMB001;2021-10-10;11:00;0837251;VOLLEY BALL OLLIOULAIS;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL; 0/2;5-25,23-25;28-50;PIEMONTESI;FERRE CHRISTOPHE;HARDION PHILIPPE;;
ACJEUNES;01;MMB002;2021-10-10;00:00;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL;0132346;MARIGNANE VOLLEY-BALL; 1/2;25-23,12-25,13-15;50-63;PIEMONTESI;HARDION PHILIPPE;FERRE CHRISTOPHE;;
ACJEUNES;01;MMB003;2021-10-10;00:00;0837251;VOLLEY BALL OLLIOULAIS;0132346;MARIGNANE VOLLEY-BALL; 0/2;14-25,17-25;31-50;PIEMONTESI;FERRE CHRISTOPHE;HARDION PHILIPPE;;
ACJEUNES;01;MMC001;2021-10-10;09:30;0839557;FREJUS VAR VOLLEY;0833351;VIDAUBAN VOLLEY-BALL; 2/0;25-17,25-21;50-38;HALLE DES PORTS SAINT CROIX;RICOME LAURENT;RYCKELYNCK CHRISTOPHE;;
ACJEUNES;01;MMC002;2021-10-10;00:00;0833351;VIDAUBAN VOLLEY-BALL;0132348;MARSEILLE VOLLEY 13; 2/1;25-22,19-25,16-14;60-61;HALLE DES PORTS SAINT CROIX;RICOME LAURENT;RYCKELYNCK CHRISTOPHE;;
ACJEUNES;01;MMC003;2021-10-10;00:00;0839557;FREJUS VAR VOLLEY;0132348;MARSEILLE VOLLEY 13; 2/0;25-14,25-22;50-36;HALLE DES PORTS SAINT CROIX;RYCKELYNCK CHRISTOPHE;RICOME LAURENT;;
ACJEUNES;01;MMD001;2021-10-10;11:00;0842424;AVIGNON VOLLEY BALL;0136082;VITROLLES SPORTS VOLLEY-BALL; 0/2;3-25,0-25;3-50;ROUMANILLE;BOUKOULLA SOPHIANE;GUEVENOUX MICHEL;;
ACJEUNES;01;MMD002;2021-10-10;00:00;0136082;VITROLLES SPORTS VOLLEY-BALL;0349271;MONTPELLIER CASTELNAU VOLLEY UNIVERSITE CLUB; 2/0;25-7,25-10;50-17;ROUMANILLE;GUEVENOUX MICHEL;BOUKOULLA SOPHIANE;;
ACJEUNES;01;MMD003;2021-10-10;00:00;0842424;AVIGNON VOLLEY BALL;0349271;MONTPELLIER CASTELNAU VOLLEY UNIVERSITE CLUB; 0/2;10-25,10-25;20-50;ROUMANILLE;BOUKOULLA SOPHIANE;GUEVENOUX MICHEL;;
ACJEUNES;01;MME001;2021-10-10;11:00;0115113;UNION SPORTIVE ROUBIANAISE;0315117;MURET VOLLEY-BALL; 0/2;22-25,20-25;42-50;SALLE MUNICIPALE;SOUCERADJOU LAURENT;BERNARD JACK-NICOLAS;;
ACJEUNES;01;MME002;2021-10-10;00:00;0315117;MURET VOLLEY-BALL;0319191;VOLLEY BALMA QUINT FONSEGRIVES; 2/0;25-10,25-15;50-25;SALLE MUNICIPALE;BERNARD JACK-NICOLAS;SOUCERADJOU LAURENT;;
ACJEUNES;01;MME003;2021-10-10;00:00;0115113;UNION SPORTIVE ROUBIANAISE;0319191;VOLLEY BALMA QUINT FONSEGRIVES; 2/0;25-11,25-3;50-14;SALLE MUNICIPALE;SOUCERADJOU LAURENT;BERNARD JACK-NICOLAS;;
ACJEUNES;01;MMF001;2021-10-10;11:00;0114939;NARBONNE VOLLEY;0343330;ARAGO DE SETE VOLLEY-BALL; 0/2;10-25,13-25;23-50;PALAIS DU TRAVAIL;BONNET DAVID;BERTRAND JOELLE;;
ACJEUNES;01;MMF002;2021-10-10;00:00;0343330;ARAGO DE SETE VOLLEY-BALL;0319125;SPORTING CLUB PLAISANCE TOUCH; 2/0;25-8,25-6;50-14;PALAIS DU TRAVAIL;BERTRAND JOELLE;BONNET DAVID;;
ACJEUNES;01;MMF003;2021-10-10;00:00;0114939;NARBONNE VOLLEY;0319125;SPORTING CLUB PLAISANCE TOUCH; 2/0;25-11,25-9;50-20;PALAIS DU TRAVAIL;BONNET DAVID;BERTRAND JOELLE;;
ACJEUNES;01;MMG001;2021-10-10;11:00;0819685;PUYLAURENS VOLLEY BALL;0819413;VOLLEY CLUB BASTIDIEN; 2/0;25-8,25-15;50-23;GYMNASE MUNICIPAL;BARTHE MARIE-SOPHIE;LARRIEU DAVID;;
ACJEUNES;01;MMG002;2021-10-10;00:00;0819413;VOLLEY CLUB BASTIDIEN;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL; 0/2;26-28,23-25;49-53;GYMNASE MUNICIPAL;LARRIEU DAVID;BARTHE MARIE-SOPHIE;;
ACJEUNES;01;MMG003;2021-10-10;00:00;0819685;PUYLAURENS VOLLEY BALL;0314739;T.O.A.C. - T.U.C. VOLLEY-BALL; 2/0;25-6,25-17;50-23;GYMNASE MUNICIPAL;LARRIEU DAVID;BARTHE MARIE-SOPHIE;;
ACJEUNES;01;MMH001;2021-10-10;13:00;0690044;MONTANAY VOLLEY-BALL;0698769;PAT. LAIQUE VILLETTE PAUL BERT; 2/0;25-20,25-15;50-35;SALLE DES SPORTS;BEKKARA MOHAMED;MONNOT CYRILLE;;
ACJEUNES;01;MMH002;2021-10-10;00:00;0698769;PAT. LAIQUE VILLETTE PAUL BERT;0429687;CLUB ATHLETIQUE DE ST ETIENNE; 0/2;8-25,15-25;23-50;SALLE DES SPORTS;BEKKARA MOHAMED;MONNOT CYRILLE;;
ACJEUNES;01;MMH003;2021-10-10;00:00;0690044;MONTANAY VOLLEY-BALL;0429687;CLUB ATHLETIQUE DE ST ETIENNE; 0/2;9-25,14-25;23-50;SALLE DES SPORTS;MONNOT CYRILLE;BEKKARA MOHAMED;;
ACJEUNES;01;MMI001;2021-10-10;11:00;0745091;ANNECY VOLLEY BALL;0744930;ANNEMASSE VOLLEY 74; 0/2;24-26,19-25;43-51;BERTHOLLET;;BIGANT JULIEN;;
ACJEUNES;01;MMI002;2021-10-10;00:00;0744930;ANNEMASSE VOLLEY 74;0699603;ASUL LYON VOLLEY BALL; 2/0;25-14,25-17;50-31;BERTHOLLET;BIGANT JULIEN;;;
ACJEUNES;01;MMI003;2021-10-10;00:00;0745091;ANNECY VOLLEY BALL;0699603;ASUL LYON VOLLEY BALL; 2/0;25-23,25-16;50-39;BERTHOLLET;BIGANT JULIEN;;;
ACJEUNES;01;MMJ001;2021-10-10;11:00;0698828;VBC FRANCHEVILLE OUEST LYONNAIS;0693332;V.B. VILLEFRANCHE BEAUJOLAIS; 1/2;25-19,13-25,9-15;47-59;COMPLEXE SPORTIF;KAFIZ MOHAND;AMIRAT DJALLAL;;
ACJEUNES;01;MMJ002;2021-10-10;00:00;0693332;V.B. VILLEFRANCHE BEAUJOLAIS;0382205;PAYS VOIRONNAIS VOLLEY - PVV; 2/0;25-12,25-18;50-30;COMPLEXE SPORTIF;AMIRAT DJALLAL;KAFIZ MOHAND;;
ACJEUNES;01;MMJ003;2021-10-10;00:00;0698828;VBC FRANCHEVILLE OUEST LYONNAIS;0382205;PAYS VOIRONNAIS VOLLEY - PVV; 2/0;25-21,25-18;50-39;COMPLEXE SPORTIF;KAFIZ MOHAND;AMIRAT DJALLAL;;
ACJEUNES;01;MMK001;2021-10-10;11:00;0542783;GRAND NANCY VOLLEY-BALL;0575650;MAIZIERES ATHLETIC CLUB VOLLEY-BALL; 0/2;17-25,8-25;25-50;GYMNASE ALFRED MEZIERES;PERRUCHAUD JEAN;CHABI SAMI;;
ACJEUNES;01;MMK002;2021-10-10;00:00;0575650;MAIZIERES ATHLETIC CLUB VOLLEY-BALL;0885362;STADE ATHLETIQUE SPINALIEN; 2/0;25-10,25-16;50-26;GYMNASE ALFRED MEZIERES;PERRUCHAUD JEAN;CHABI SAMI;;
ACJEUNES;01;MMK003;2021-10-10;00:00;0542783;GRAND NANCY VOLLEY-BALL;0885362;STADE ATHLETIQUE SPINALIEN; 1/2;16-25,25-16,9-15;50-56;GYMNASE ALFRED MEZIERES;CHABI SAMI;PERRUCHAUD JEAN;;
ACJEUNES;01;MML001;2021-10-10;12:00;0675406;VOLLEY-BALL CLUB STRASBOURG VBCS;0686394;VBC KINGERSHEIM; 0/2;10-25,19-25;29-50;JEAN NICOLAS MULLER 2;DORN ERIC;;;
ACJEUNES;01;MML002;2021-10-10;00:00;0686394;VBC KINGERSHEIM;0675289;A.S. VALLEE DE LA SAUER; 2/F;25-0,25-0;50-0;JEAN NICOLAS MULLER 2;;;;
ACJEUNES;01;MML003;2021-10-10;00:00;0675406;VOLLEY-BALL CLUB STRASBOURG VBCS;0675289;A.S. VALLEE DE LA SAUER; 2/F;25-0,25-0;50-0;JEAN NICOLAS MULLER 2;DORN ERIC;;;
ACJEUNES;01;MMM001;2021-10-10;11:00;0906468;ASM BELFORT VOLLEY-BALL;0674157;STRASBOURG UNIVERSITE CLUB; 0/2;14-25,12-25;26-50;GYMNASE THURNHERR;VALLAT LUDIVINE;;;
ACJEUNES;01;MMM002;2021-10-10;00:00;0674157;STRASBOURG UNIVERSITE CLUB;0714053;VOLLEY CLUB MACONNAIS; 2/0;25-11,25-21;50-32;GYMNASE THURNHERR;VALLAT LUDIVINE;;;
ACJEUNES;01;MMM003;2021-10-10;00:00;0906468;ASM BELFORT VOLLEY-BALL;0714053;VOLLEY CLUB MACONNAIS; 1/2;25-14,24-26,12-15;61-55;GYMNASE THURNHERR;VALLAT LUDIVINE;;;
ACJEUNES;01;MMN001;2021-10-10;11:00;0023697;LAON VOLLEY BALL;0803771;AMIENS METROPOLE VOLLEY; 2/0;25-18,25-17;50-35;COUBERTIN;REMONT NOELIE;CABARET JEREMY;;
ACJEUNES;01;MMN002;2021-10-10;00:00;0803771;AMIENS METROPOLE VOLLEY;0523906;CHAUMONT VOLLEY-BALL 52; 0/2;12-25,12-25;24-50;COUBERTIN;CABARET JEREMY;REMONT NOELIE;;
ACJEUNES;01;MMN003;2021-10-10;00:00;0023697;LAON VOLLEY BALL;0523906;CHAUMONT VOLLEY-BALL 52; 0/2;13-25,22-25;35-50;COUBERTIN;REMONT NOELIE;CABARET JEREMY;;
ACJEUNES;01;MMO001;2021-10-10;11:00;0594680;TOURCOING VOLLEY-BALL L.M.;0590025;AMICALE CENTRE HELLEMMES VOLLEY-BALL; 2/P;25-0,25-0;50-0;SALLE MARIE CURIE;WINCKEL ANTOINE;;;
ACJEUNES;01;MMO002;2021-10-10;00:00;0590025;AMICALE CENTRE HELLEMMES VOLLEY-BALL;0599848;DUNKERQUE GRAND LITTORAL V.B.; P/2;0-25,0-25;0-50;SALLE MARIE CURIE;WINCKEL ANTOINE;;;
ACJEUNES;01;MMO003;2021-10-10;00:00;0594680;TOURCOING VOLLEY-BALL L.M.;0599848;DUNKERQUE GRAND LITTORAL V.B.; 0/2;7-25,10-25;17-50;SALLE MARIE CURIE;WINCKEL ANTOINE;;;
ACJEUNES;01;MMP001;2021-10-10;11:00;0628128;LOISIRS INTER SPORT ST PIERRE;0595712;VOLLEY CLUB SAINT POLOIS; 2/1;25-16,19-25,17-15;61-56;SALLE QUINET;BARBIER ALBERT;SPYCHAJ MELANIE;;
ACJEUNES;01;MMP002;2021-10-10;00:00;0595712;VOLLEY CLUB SAINT POLOIS;0803781;LONGUEAU AMIENS METROPOLE VOLLEY-BALL; 2/0;25-21,25-23;50-44;SALLE QUINET;SPYCHAJ MELANIE;BARBIER ALBERT;;
ACJEUNES;01;MMP003;2021-10-10;00:00;0628128;LOISIRS INTER SPORT ST PIERRE;0803781;LONGUEAU AMIENS METROPOLE VOLLEY-BALL; 2/0;25-19,25-15;50-34;SALLE QUINET;BARBIER ALBERT;SPYCHAJ MELANIE;;
ACJEUNES;01;MMQ001;2021-10-10;11:00;0921672;SAINT-CLOUD PARIS SF;0776584;PONTAULT-COMBAULT V.B. CLUB; 2/0;25-0,25-6;50-6;GYMNASE VERHAEREN;GUYARD ERIC;;;
ACJEUNES;01;MMQ002;2021-10-10;00:00;0776584;PONTAULT-COMBAULT V.B. CLUB;0912762;VOLLEY-BALL DE MILLY LA FORET; 0/2;9-25,4-25;13-50;GYMNASE VERHAEREN;GUYARD ERIC;;;
ACJEUNES;01;MMQ003;2021-10-10;00:00;0921672;SAINT-CLOUD PARIS SF;0912762;VOLLEY-BALL DE MILLY LA FORET; 0/2;22-25,23-25;45-50;GYMNASE VERHAEREN;GUYARD ERIC;;;
ACJEUNES;01;MMR001;2021-10-10;11:00;0929372;PLESSIS-ROBINSON VOLLEY-BALL;0912770;ASV - ARTS ET SPORTS A VILLEBON; 2/0;25-12,25-15;50-27;JOLIOT CURIE;ANDRIANARISOA JAONA;;;
ACJEUNES;01;MMR002;2021-10-10;00:00;0912770;ASV - ARTS ET SPORTS A VILLEBON;0779890;US LOGNES VOLLEY-BALL; 2/0;25-10,25-4;50-14;JOLIOT CURIE;ANDRIANARISOA JAONA;;;
ACJEUNES;01;MMR003;2021-10-10;00:00;0929372;PLESSIS-ROBINSON VOLLEY-BALL;0779890;US LOGNES VOLLEY-BALL; 2/0;25-6,25-8;50-14;JOLIOT CURIE;ANDRIANARISOA JAONA;;;
ACJEUNES;01;MMS001;2021-10-10;10:00;0757954;PARIS AMICALE CAMOU;0926073;COURBEVOIE SPORTS; 2/1;23-25,25-14,15-5;63-44;DUPLEIX;JAKIMOV VERIKA;;;
ACJEUNES;01;MMS002;2021-10-10;00:00;0926073;COURBEVOIE SPORTS;0785464;CONFLANS-ANDRESY-JOUY VB; 0/2;17-25,11-25;28-50;DUPLEIX;JAKIMOV VERIKA;PRIOU BRUNO;;
ACJEUNES;01;MMS003;2021-10-10;00:00;0757954;PARIS AMICALE CAMOU;0785464;CONFLANS-ANDRESY-JOUY VB; 0/2;23-25,16-25;39-50;DUPLEIX;PRIOU BRUNO;JAKIMOV VERIKA;;
ACJEUNES;01;MMT001;2021-10-10;11:00;0946784;VINCENNES VOLLEY CLUB;0921673;ANTONY VOLLEY; 2/0;25-12,25-10;50-22;CENTRE SPORTIF G. POMPIDOU;FERNANDES LUCY;;;
ACJEUNES;01;MMT002;2021-10-10;00:00;0921673;ANTONY VOLLEY;0955773;AMICAL CS CORMEILLAIS; 2/0;25-14,25-14;50-28;CENTRE SPORTIF G. POMPIDOU;FERNANDES LUCY;;;
ACJEUNES;01;MMT003;2021-10-10;00:00;0946784;VINCENNES VOLLEY CLUB;0955773;AMICAL CS CORMEILLAIS; 2/0;25-6,25-7;50-13;CENTRE SPORTIF G. POMPIDOU;FERNANDES LUCY;;;
ACJEUNES;01;MMU001;2021-10-10;11:00;0943861;CNM CHARENTON;0933876;USM. GAGNY VOLLEY; 2/0;25-20,25-7;50-27;GYMNASE TONY PARKER;MAS CLAUDIE;;;
ACJEUNES;01;MMU002;2021-10-10;00:00;0933876;USM. GAGNY VOLLEY;0286397;CHATEAUDUN VOLLEY-BALL; 0/2;16-25,11-25;27-50;GYMNASE TONY PARKER;MAS CLAUDIE;;;
ACJEUNES;01;MMU003;2021-10-10;00:00;0943861;CNM CHARENTON;0286397;CHATEAUDUN VOLLEY-BALL; 2/0;25-18,25-23;50-41;GYMNASE TONY PARKER;MAS CLAUDIE;;;
ACJEUNES;01;MMV001;2021-10-10;10:00;0788680;AS. SP DE SARTROUVILLE;0786162;VOLLEY-CLUB PLAISIR-VILLEPREUX; 2/0;25-11,25-10;50-21;CARNOT;GUYARD ANDREAS;;;
ACJEUNES;01;MMV002;2021-10-10;00:00;0786162;VOLLEY-CLUB PLAISIR-VILLEPREUX;0775819;FS VAL D'EUROPE ESBLY COUPVRAY VB; 0/2;15-25,14-25;29-50;CARNOT;GUYARD ANDREAS;;;
ACJEUNES;01;MMV003;2021-10-10;00:00;0788680;AS. SP DE SARTROUVILLE;0775819;FS VAL D'EUROPE ESBLY COUPVRAY VB; 2/0;25-8,25-15;50-23;CARNOT;GUYARD ANDREAS;;;
ACJEUNES;01;MMW001;2021-10-10;10:00;0922431;ACBB;0784696;AS VOLLEY-BALL VELIZY; 0/2;8-25,13-25;21-50;COSEC DES DOMINICAINS;VILLESALMON ERIC;;;
ACJEUNES;01;MMW002;2021-10-10;00:00;0784696;AS VOLLEY-BALL VELIZY;0941410;VIE AU GRAND AIR DE ST MAUR; 2/0;25-15,25-8;50-23;COSEC DES DOMINICAINS;VILLESALMON ERIC;;;
ACJEUNES;01;MMW003;2021-10-10;00:00;0922431;ACBB;0941410;VIE AU GRAND AIR DE ST MAUR; 0/2;19-25,18-25;37-50;COSEC DES DOMINICAINS;VILLESALMON ERIC;;;
ACJEUNES;01;MMX001;2021-10-10;11:00;0761503;MAROMME CANTELEU VOLLEY 76;0146341;VOLLEY CLUB HEROUVILLE; 2/0;25-17,25-17;50-34;CENTRE SPORTIF ALAIN CALMAT;MAURY MATHIEU;DEJARDIN FLORIAN;;
ACJEUNES;01;MMX002;2021-10-10;00:00;0146341;VOLLEY CLUB HEROUVILLE;0957908;V.B. CLUB ERMONT; 1/2;22-25,25-22,7-15;54-62;CENTRE SPORTIF ALAIN CALMAT;DEJARDIN FLORIAN;MAURY MATHIEU;;
ACJEUNES;01;MMX003;2021-10-10;00:00;0761503;MAROMME CANTELEU VOLLEY 76;0957908;V.B. CLUB ERMONT; 2/0;25-13,25-8;50-21;CENTRE SPORTIF ALAIN CALMAT;MAURY MATHIEU;DEJARDIN FLORIAN;;
ACJEUNES;01;MMY001;2021-10-10;11:00;0224485;ASS SP CULT PLANCOETINE;0223997;ASPTT LANNION; 0/2;17-25,21-25;38-50;GYMNASE JOSEPH SAMSON;AVIGNANT ODILE;;;
ACJEUNES;01;MMY002;2021-10-10;00:00;0223997;ASPTT LANNION;0351428;E.SP. CANTON DE PIPRIAC V.B.; 0/2;18-25,22-25;40-50;GYMNASE JOSEPH SAMSON;AVIGNANT ODILE;;;
ACJEUNES;01;MMY003;2021-10-10;00:00;0224485;ASS SP CULT PLANCOETINE;0351428;E.SP. CANTON DE PIPRIAC V.B.; 0/2;9-25,14-25;23-50;GYMNASE JOSEPH SAMSON;AVIGNANT ODILE;;;
ACJEUNES;01;MMZ001;2021-10-10;11:00;0293684;ETOILE ST LAURENT;0299370;QUIMPER VOLLEY 29; 0/2;10-25,13-25;23-50;PENN AR C'HLEUZ;BAIOTTO MAURER MARTINE;TAURAA ISABELLE;;
ACJEUNES;01;MMZ002;2021-10-10;00:00;0299370;QUIMPER VOLLEY 29;0355169;VOLLEY BALL CLUB MALOUIN; 2/F;25-0,25-0;50-0;PENN AR C'HLEUZ;;;;
ACJEUNES;01;MMZ003;2021-10-10;00:00;0293684;ETOILE ST LAURENT;0355169;VOLLEY BALL CLUB MALOUIN; 2/F;25-0,25-0;50-0;PENN AR C'HLEUZ;;;;
ACJEUNES;01;MX1001;2021-10-10;11:00;0353652;C.P.B. RENNES 35;0534442;ASPTT LAVAL; 0/2;11-25,19-25;30-50;GYMNASE CDT BOUGOUIN;RUBIN THOMAS;SAUDRAIS LUCAS;;
ACJEUNES;01;MX1002;2021-10-10;00:00;0534442;ASPTT LAVAL;0565019;PATRONAGE LAIQUE LORIENT; 2/0;25-15,25-14;50-29;GYMNASE CDT BOUGOUIN;SAUDRAIS LUCAS;RUBIN THOMAS;;
ACJEUNES;01;MX1003;2021-10-10;00:00;0353652;C.P.B. RENNES 35;0565019;PATRONAGE LAIQUE LORIENT; 2/0;25-23,25-16;50-39;GYMNASE CDT BOUGOUIN;SAUDRAIS LUCAS;RUBIN THOMAS;;
ACJEUNES;01;MX2001;2021-10-10;11:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0564003;VANNES VOLLEY 56; 2/0;25-9,25-6;50-15;JEAN JAHAN 2;BARAKA FAYSSAL;MOKAHLI ESSABAG ABDELHAMID;;
ACJEUNES;01;MX2002;2021-10-10;00:00;0564003;VANNES VOLLEY 56;0358885;ENT.SP.CULT. MOULINS; 0/2;10-25,8-25;18-50;JEAN JAHAN 2;MOKAHLI ESSABAG ABDELHAMID;BARAKA FAYSSAL;;
ACJEUNES;01;MX2003;2021-10-10;00:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0358885;ENT.SP.CULT. MOULINS; 0/2;11-25,24-26;35-51;JEAN JAHAN 2;MOKAHLI ESSABAG ABDELHAMID;BARAKA FAYSSAL;;
ACJEUNES;01;MX3001;2021-10-10;11:00;0377244;JOUE VOLLEY-BALL;0374861;TOURS VOLLEY-BALL; 0/2;10-25,12-25;22-50;GYMNASE HUBERT HENNO;JAMIN BERENGER;;;
ACJEUNES;01;MX3002;2021-10-10;00:00;0374861;TOURS VOLLEY-BALL;0491492;SPORTING CLUB DE L OUEST; 2/0;25-17,25-22;50-39;GYMNASE HUBERT HENNO;JAMIN BERENGER;;;
ACJEUNES;01;MX3003;2021-10-10;00:00;0377244;JOUE VOLLEY-BALL;0491492;SPORTING CLUB DE L OUEST; 0/2;12-25,22-25;34-50;GYMNASE HUBERT HENNO;JAMIN BERENGER;;;
ACJEUNES;01;MX4001;2021-10-10;10:00;0442477;AILES SP BOUGUENAIS REZE;0857865;MONTAIGU-VENDEE BOUFFERE VOLLEY-BALL; 2/0;25-11,25-15;50-26;GYMNASE LIBERGE;BOUIN AMANDINE;LE BORGNE GAEL;;
