Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
AALNV;04;MSL026;2023-11-07;20:00;0337145;AS ILLACAISE VB;0594680;TOURCOING VB LILLE METROPOLE; 1/3;26-28,32-30,13-25,19-25;90-108;PIERRE FAVRE;DJADOUN BRAHIM;ZGHEIB JOSEPH;;
AALNV;04;MSL027;2023-11-07;20:00;0314739;SPACER'S TOULOUSE Volley-Ball;0374861;TOURS Volley-Ball; 3/1;25-15,25-20,18-25,25-23;93-83;ANDRE BROUAT;CHOUMAN ALAIN;CARRE SYLVAIN;;
AALNV;04;MSL028;2023-11-07;20:00;0449605;ST NAZAIRE VB ATLANTIQUE;0757777;PARIS Volley; 3/1;21-25,25-23,25-21,25-14;96-83;COUBERTIN;RAGUET PATRICK;MORCHOISNE FRANCK;;
AALNV;05;MSL029;2023-11-10;20:00;0374861;TOURS Volley-Ball;0523906;CHAUMONT VB 52 HAUTE-MARNE; 0/3;25-27,21-25,22-25;68-77;ROBERT GRENON;GUILLET OLIVIER;VANDERBEEKEN STEFAN;;
AALNV;05;MSL030;2023-11-11;19:00;0929372;PLESSIS-ROBINSON Volley-Ball;0449605;ST NAZAIRE VB ATLANTIQUE; 3/0;25-18,25-16,25-20;75-54;ESP. OMNISPORTS;MALAGOLI CHARLENE;HOUNNOUKPE JOEL;;
AALNV;05;MSL031;2023-11-11;19:00;0337145;AS ILLACAISE VB;0349271;MONTPELLIER CASTELNAU Volley UC; 0/3;16-25,17-25,17-25;50-75;PIERRE FAVRE;VIGNERON CHRISTOPHE;CARRE SYLVAIN;;
AALNV;05;MSL032;2023-11-11;19:30;0862447;ALTERNA STADE POITEVIN VB;0314739;SPACER'S TOULOUSE Volley-Ball; 0/3;21-25,25-27,14-25;60-77;LAWSON BODY;GILBERT SYLVAIN;KAISER CHANTAL;;
AALNV;05;MSL033;2023-11-11;19:30;0343330;ARAGO DE SETE;0757777;PARIS Volley; 2/3;25-22,19-25,18-25,25-18,11-15;98-105;LOUIS MARTY;COLLADOS FABRICE;SIEGL FREDERIC;;
AALNV;05;MSL034;2023-11-11;20:00;0442477;NANTES REZE METROPOLE;0066927;NICE Volley-Ball; 3/0;25-10,26-24,25-17;76-51;LA TROCARDIÈRE;LAUNOIS SYLVAIN;ISNARD ADRIEN;;
AALNV;05;MSL035;2023-11-11;19:30;0114939;NARBONNE Volley;0594680;TOURCOING VB LILLE METROPOLE; 0/3;22-25,15-25,24-26;61-76;L'ARENA;GALANT PHILIPPE;BERARD MARC;;
AALNV;06;MSL036;2023-11-14;20:00;0442477;NANTES REZE METROPOLE;0337145;AS ILLACAISE VB; 3/0;25-16,25-14,25-19;75-49;LA TROCARDIÈRE;GADENNE CAMILLE;MORCHOISNE FRANCK;;
AALNV;06;MSL037;2023-11-14;19:30;0066927;NICE Volley-Ball;0523906;CHAUMONT VB 52 HAUTE-MARNE; 2/3;25-15,25-19,18-25,19-25,15-17;102-101;PALMEIRA;COLLADOS FABRICE;MALAGOLI CHARLENE;;
AALNV;06;MSL038;2023-11-15;20:00;0349271;MONTPELLIER CASTELNAU Volley UC;0929372;PLESSIS-ROBINSON Volley-Ball; 3/1;25-20,25-22,21-25,25-19;96-86;CHABAN DELMAS;SIEGL FREDERIC;GALANT PHILIPPE;;
AALNV;06;MSL039;2023-11-14;20:00;0757777;PARIS Volley;0594680;TOURCOING VB LILLE METROPOLE; 0/3;23-25,12-25,19-25;54-75;PIERRE CHARPY;ISNARD ADRIEN;LAUNOIS SYLVAIN;;
AALNV;06;MSL040;2023-11-14;20:00;0862447;ALTERNA STADE POITEVIN VB;0343330;ARAGO DE SETE; 0/3;20-25,18-25,20-25;58-75;LAWSON BODY;VANDERBEEKEN STEFAN;HAYAUX DU TILLY MATHILDE;;
AALNV;06;MSL041;2023-11-14;20:00;0314739;SPACER'S TOULOUSE Volley-Ball;0114939;NARBONNE Volley; 3/0;25-18,25-15,25-23;75-56;ANDRE BROUAT;HOUNNOUKPE JOEL;JUAN STEPHANE;;
AALNV;06;MSL042;2023-11-14;20:00;0449605;ST NAZAIRE VB ATLANTIQUE;0374861;TOURS Volley-Ball; 3/0;26-24,25-18,25-22;76-64;COUBERTIN;CARQUIN JEROME;ZGHEIB JOSEPH;;
AALNV;07;MSL043;2023-11-18;19:00;0374861;TOURS Volley-Ball;0862447;ALTERNA STADE POITEVIN VB; 3/1;25-23,23-25,25-21,25-22;98-91;ROBERT GRENON;BERARD MARC;BRASSART GEOFFREY;;
AALNV;07;MSL044;2023-11-18;19:30;0343330;ARAGO DE SETE;0314739;SPACER'S TOULOUSE Volley-Ball; 1/3;19-25,22-25,25-21,27-29;93-100;LOUIS MARTY;GALANT PHILIPPE;MALAGOLI CHARLENE;;
AALNV;07;MSL045;2023-11-18;20:00;0523906;CHAUMONT VB 52 HAUTE-MARNE;0337145;AS ILLACAISE VB; 3/0;25-23,25-23,25-21;75-67;PALESTRA;JACOB SEBASTIEN;DJADOUN BRAHIM;;
AALNV;07;MSL046;2023-11-18;19:30;0114939;NARBONNE Volley;0929372;PLESSIS-ROBINSON Volley-Ball; 1/3;25-16,18-25,28-30,10-25;81-96;L'ARENA;KAISER CHANTAL;VIGNERON CHRISTOPHE;;
AALNV;07;MSL047;2023-11-18;19:30;0349271;MONTPELLIER CASTELNAU Volley UC;0449605;ST NAZAIRE VB ATLANTIQUE; 1/3;22-25,25-22,23-25,16-25;86-97;CHABAN DELMAS;HAYAUX DU TILLY MATHILDE;GILBERT SYLVAIN;;
AALNV;07;MSL048;2023-11-17;20:00;0757777;PARIS Volley;0442477;NANTES REZE METROPOLE; 1/3;27-25,21-25,25-27,20-25;93-102;PIERRE CHARPY;REJAEYAN EHSAN;CHOUMAN ALAIN;;
AALNV;07;MSL049;2023-11-19;17:00;0594680;TOURCOING VB LILLE METROPOLE;0066927;NICE Volley-Ball; 1/3;21-25,26-24,23-25,22-25;92-99;STAB - ROUBAIX;ZGHEIB JOSEPH;CARQUIN JEROME;;
AALNV;08;MSL050;2023-11-24;20:00;0314739;SPACER'S TOULOUSE Volley-Ball;0594680;TOURCOING VB LILLE METROPOLE;;;;ANDRE BROUAT;BRASSART GEOFFREY;BOUACHERIA SEBASTIEN;;
AALNV;08;MSL051;2023-11-25;19:00;0337145;AS ILLACAISE VB;0343330;ARAGO DE SETE;;;;PIERRE FAVRE;LEBALC'H PIERRICK;RAGUET PATRICK;;
AALNV;08;MSL052;2023-11-25;19:00;0929372;PLESSIS-ROBINSON Volley-Ball;0523906;CHAUMONT VB 52 HAUTE-MARNE;;;;ESP. OMNISPORTS;VANDERBEEKEN STEFAN;CARRE SYLVAIN;;
AALNV;08;MSL053;2023-11-25;19:30;0862447;ALTERNA STADE POITEVIN VB;0757777;PARIS Volley;;;;LAWSON BODY;VIGNERON CHRISTOPHE;GALANT PHILIPPE;;
AALNV;08;MSL054;2023-11-26;17:00;0442477;NANTES REZE METROPOLE;0374861;TOURS Volley-Ball;;;;LA TROCARDIÈRE;JUAN STEPHANE;GILBERT SYLVAIN;;
AALNV;08;MSL055;2023-11-25;20:00;0449605;ST NAZAIRE VB ATLANTIQUE;0114939;NARBONNE Volley;;;;COUBERTIN;HEPP CAROLE;ISNARD ADRIEN;;
AALNV;08;MSL056;2023-11-25;19:00;0066927;NICE Volley-Ball;0349271;MONTPELLIER CASTELNAU Volley UC;;;;PALMEIRA;DJADOUN BRAHIM;CHOUMAN ALAIN;;
AALNV;09;MSL057;2023-12-02;19:30;0343330;ARAGO DE SETE;0442477;NANTES REZE METROPOLE;;;;LOUIS MARTY;BERARD MARC;GUILLET OLIVIER;;
AALNV;09;MSL058;2023-12-02;20:00;0374861;TOURS Volley-Ball;0114939;NARBONNE Volley;;;;ROBERT GRENON;RAGUET PATRICK;MORCHOISNE FRANCK;;
AALNV;09;MSL059;2023-12-02;20:00;0523906;CHAUMONT VB 52 HAUTE-MARNE;0594680;TOURCOING VB LILLE METROPOLE;;;;PALESTRA;COLLADOS FABRICE;KAISER CHANTAL;;
AALNV;09;MSL060;2023-12-02;19:30;0349271;MONTPELLIER CASTELNAU Volley UC;0862447;ALTERNA STADE POITEVIN VB;;;;CHABAN DELMAS;CHOUMAN ALAIN;MALAGOLI CHARLENE;;
AALNV;09;MSL061;2023-12-02;19:00;0066927;NICE Volley-Ball;0929372;PLESSIS-ROBINSON Volley-Ball;;;;PALMEIRA;BOUACHERIA SEBASTIEN;GADENNE CAMILLE;;
AALNV;09;MSL062;2023-12-01;20:00;0449605;ST NAZAIRE VB ATLANTIQUE;0314739;SPACER'S TOULOUSE Volley-Ball;;;;COUBERTIN;JUAN STEPHANE;HOUNNOUKPE JOEL;;
