Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
LICA;02;PMAA005;2023-10-07;18:00;0839557;FREJUS VAR VOLLEY;0060036;PAYS DE GRASSE VOLLEY-BALL; 3/0;25-15,25-18,26-24;76-57;SAINTE CROIX;BELDICO THOMAS;BRAMERIE EMILE;;
LICA;02;PMAA006;2023-10-07;20:00;0062701;ASS SPORTIVE DE MONACO;0067689;US CAGNES VOLLEY-BALL; 0/3;20-25,14-25,21-25;55-75;MONEGHETTI;TOUSSAINT ANDRE-LUC;ALBERT DAVID;;
LICA;02;PMAA007;2023-10-07;20:00;0060007;AS CANNES VOLLEY-BALL;0060008;MANDELIEU LA NAPOULE V.B.; 3/1;25-17,25-22,12-25,25-17;87-81;LES COTEAUX;GABRIELE JEAN-CLAUDE;COUDYSER MARC-ANTOINE;;
LICA;02;PMAA008;2023-10-07;18:00;0836296;DRAGUIGNAN UNION CLUB VAR VB;0062509;OLYMPIQUES ANTIBES JUAN PINS; 2/3;26-24,25-27,22-25,26-24,12-15;111-115;COLL�GE ROSTAND;RICOME LAURENT;BOUROUIS NAGETT;;
