Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
LICA;06;PMAA021;2023-11-11;20:30;0060008;MANDELIEU LA NAPOULE V.B.;0839557;FREJUS VAR VOLLEY;;;;LES MIMOSAS;RUBIN THOMAS;RICOME LAURENT;;
LICA;06;PMAA022;2023-11-11;19:00;0067689;US CAGNES VOLLEY-BALL;0062509;OLYMPIQUES ANTIBES JUAN PINS;;;;JULES VERNE;HANOTEL CHRISTINE;HANOTEL LEO;;
LICA;06;PMAA023;2023-11-11;20:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0836296;DRAGUIGNAN UNION CLUB VAR VB;;;;LA CHENAIE;PHLIPONEAU BORIS;LAMY STEPHANE;;
LICA;06;PMAA024;2023-11-11;20:00;0062701;ASS SPORTIVE DE MONACO;0060007;AS CANNES VOLLEY-BALL;;;;MONEGHETTI;ALBERT DAVID;TOMOU RONAN;;
