Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;04;BFA010;2024-01-21;11:00;0067686;VOLERO LE CANNET COTE D'AZUR;0138032;PAYS D'AIX VENELLES V.B.; 0/2;17-25,18-25;35-50;MAILLAN;PISANO LORENZO;;
ACJEUNES;04;BFA011;2024-01-21;00:00;0138032;PAYS D'AIX VENELLES V.B.;0136761;ISTRES PROVENCE VOLLEY; 2/0;25-17,25-20;50-37;MAILLAN;PISANO LORENZO;;
ACJEUNES;04;BFA012;2024-01-21;00:00;0067686;VOLERO LE CANNET COTE D'AZUR;0136761;ISTRES PROVENCE VOLLEY; 2/0;25-14,25-16;50-30;MAILLAN;PISANO LORENZO;;
ACJEUNES;04;BFB010;2024-01-21;11:00;0060008;MANDELIEU LA NAPOULE V.B.;0836446;SAINTE-MAXIME COGOLIN VOLLEY; 0/2;24-26,19-25;43-51;GYMNASE DES MIMOSAS;TORRE PIETRO;;
ACJEUNES;04;BFB011;2024-01-21;00:00;0836446;SAINTE-MAXIME COGOLIN VOLLEY;0848651;VOLLEY BEAUCAIRE TARASCON (LE) GRES; 1/2;23-25,25-20,11-15;59-60;GYMNASE DES MIMOSAS;TORRE PIETRO;;
ACJEUNES;04;BFB012;2024-01-21;00:00;0060008;MANDELIEU LA NAPOULE V.B.;0848651;VOLLEY BEAUCAIRE TARASCON (LE) GRES; 1/2;25-23,22-25,8-15;55-63;GYMNASE DES MIMOSAS;TORRE PIETRO;;
ACJEUNES;04;BFC010;2024-01-21;11:00;0134290;MARTIGUES VOLLEY-BALL;0138350;COUDOUX VELAUX LA FARE VOLLEY-BALL; 1/2;21-25,25-23,9-15;55-63;JULIEN OLIVE;HASNAOUI FAYCAL;;
ACJEUNES;04;BFC011;2024-01-21;00:00;0138350;COUDOUX VELAUX LA FARE VOLLEY-BALL;0117968;VOLLEY-BALL GRUISSAN; 0/2;14-25,18-25;32-50;JULIEN OLIVE;HASNAOUI FAYCAL;;
ACJEUNES;04;BFC012;2024-01-21;00:00;0134290;MARTIGUES VOLLEY-BALL;0117968;VOLLEY-BALL GRUISSAN; 0/2;9-25,20-25;29-50;JULIEN OLIVE;HASNAOUI FAYCAL;;
ACJEUNES;04;BFD010;2024-01-21;11:00;0344410;ASLJCROIX ARGENT MONTPELLIER;0347099;VBC CLERMONTAIS; 2/0;25-12,25-14;50-26;GYMNASE ALAIN COLAS;STAES AURÉLIEN;;
