Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;CMA001;2024-10-13;11:00;0699603;ASUL LYON VOLLEY BALL;0019560;AMBERIEU VOLLEY BALL; 2/0;25-15,25-10;50-25;ALICE MILLIAT (EX BON LAIT);COLLOT ANTOINE;DREAN MAXIME;
ACJEUNES;01;CMA002;2024-10-13;00:00;0019560;AMBERIEU VOLLEY BALL;0714053;VOLLEY CLUB MACONNAIS; 0/2;10-25,17-25;27-50;ALICE MILLIAT (EX BON LAIT);COLLOT ANTOINE;DREAN MAXIME;
ACJEUNES;01;CMA003;2024-10-13;00:00;0699603;ASUL LYON VOLLEY BALL;0714053;VOLLEY CLUB MACONNAIS; 2/0;25-17,25-22;50-39;ALICE MILLIAT (EX BON LAIT);DREAN MAXIME;COLLOT ANTOINE;
ACJEUNES;01;CMB001;2024-10-13;11:00;0420015;ENTENTE FOREZIENNE VOLLEY-BALL;0693332;VOLLEY-BALL VILLEFRANCHE BEAUJOLAIS; 0/2;9-25,11-25;20-50;ROGER RIVIERE;SERVAIS GUILLAUME;BALANCHE MATHIEU;
ACJEUNES;01;CMB002;2024-10-13;00:00;0693332;VOLLEY-BALL VILLEFRANCHE BEAUJOLAIS;0386331;ENT SPORT MEYLAN LA TRONCHE; 2/0;25-13,25-17;50-30;ROGER RIVIERE;BALANCHE MATHIEU;SERVAIS GUILLAUME;
ACJEUNES;01;CMB003;2024-10-13;00:00;0420015;ENTENTE FOREZIENNE VOLLEY-BALL;0386331;ENT SPORT MEYLAN LA TRONCHE; 0/2;10-25,23-25;33-50;ROGER RIVIERE;SERVAIS GUILLAUME;BALANCHE MATHIEU;
ACJEUNES;01;CMC001;2024-10-13;11:00;0745505;PASSY-SALLANCHES VOLLEY;0015366;VOLLEY CLUB MEXIMIEUX; 0/2;12-25,21-25;33-50;GYMNASE DES FIZ;DOMANSKI SIMON;SAVOY JEAN-CLAUDE;
ACJEUNES;01;CMC002;2024-10-13;00:00;0015366;VOLLEY CLUB MEXIMIEUX;0695668;VOLLEY BRON @ LYON LUMIERE; 0/2;25-27,16-25;41-52;GYMNASE DES FIZ;;SAVOY JEAN-CLAUDE;
ACJEUNES;01;CMC003;2024-10-13;00:00;0745505;PASSY-SALLANCHES VOLLEY;0695668;VOLLEY BRON @ LYON LUMIERE; 0/2;14-25,21-25;35-50;GYMNASE DES FIZ;SAVOY JEAN-CLAUDE;;
ACJEUNES;01;CMD001;2024-10-13;13:00;0690044;VOLLEY VAL DE SAONE;0693493;PATRIOTE ENTRAIN DE SAINT DENIS (LYON PESD); 0/2;11-25,19-25;30-50;SALLE DES SPORTS;AUBERT JEAN;BARLET JULIEN;
