Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;08;MMA022;2023-04-23;11:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0842425;U.S. PONTET VOLLEY AVENIR;;;;SALLE RENE FRIARD;;;;
ACJEUNES;08;MMA023;2023-04-23;00:00;0842425;U.S. PONTET VOLLEY AVENIR;0114939;NARBONNE VOLLEY;;;;SALLE RENE FRIARD;;;;
ACJEUNES;08;MMA024;2023-04-23;00:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0114939;NARBONNE VOLLEY;;;;SALLE RENE FRIARD;;;;
ACJEUNES;08;MMB022;2023-05-07;11:00;0640001;LESCAR PROMOTION VOLLEY-BALL;0345002;ASBAM MONTPELLIER;;;;PAUL FORT;;;;
ACJEUNES;08;MMB023;2023-05-07;00:00;0345002;ASBAM MONTPELLIER;0836296;DRAGUIGNAN UNION CLUB VAR VB;;;;PAUL FORT;;;;
ACJEUNES;08;MMB024;2023-05-07;00:00;0640001;LESCAR PROMOTION VOLLEY-BALL;0836296;DRAGUIGNAN UNION CLUB VAR VB;;;;PAUL FORT;;;;
ACJEUNES;08;MMC022;2023-04-23;11:00;0686394;VBC KINGERSHEIM;0929372;PLESSIS-ROBINSON VOLLEY-BALL;;;;COSEC;PAGLIERI JOEL;SIFFERLEN YVES;;
ACJEUNES;08;MMC023;2023-04-23;00:00;0929372;PLESSIS-ROBINSON VOLLEY-BALL;0136082;VITROLLES SPORTS VOLLEY-BALL;;;;COSEC;;;;
ACJEUNES;08;MMC024;2023-04-23;00:00;0686394;VBC KINGERSHEIM;0136082;VITROLLES SPORTS VOLLEY-BALL;;;;COSEC;;;;
ACJEUNES;08;MMD022;2023-04-23;11:00;0307732;NIMES VOLLEY-BALL;0839557;FREJUS VAR VOLLEY;;;;GASTON LESSUT;MOHAMED SAID;GAY PHILIPPE;;
ACJEUNES;08;MMD023;2023-04-23;00:00;0839557;FREJUS VAR VOLLEY;0757777;PUC VOLLEY-BALL;;;;GASTON LESSUT;;;;
ACJEUNES;08;MMD024;2023-04-23;00:00;0307732;NIMES VOLLEY-BALL;0757777;PUC VOLLEY-BALL;;;;GASTON LESSUT;;;;
ACJEUNES;08;MME022;2023-04-23;11:00;0374861;TOURS VOLLEY-BALL;0943861;CNM CHARENTON;;;;SALLE GRENON;;;;
ACJEUNES;08;MME023;2023-04-23;00:00;0943861;CNM CHARENTON;0132346;MARIGNANE VOLLEY-BALL;;;;SALLE GRENON;;;;
ACJEUNES;08;MME024;2023-04-23;00:00;0374861;TOURS VOLLEY-BALL;0132346;MARIGNANE VOLLEY-BALL;;;;SALLE GRENON;;;;
