Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;JMA001;2025-10-12;11:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0448335;SAINT-HERBLAIN VOLLEY-BALL; 2/0;25-8,25-10;50-18;JEAN JAHAN 2;LORILLON MATTHIS;REISCHEK MAXENCE;
ACJEUNES;01;JMA002;2025-10-12;00:00;0448335;SAINT-HERBLAIN VOLLEY-BALL;0491492;SPORTING CLUB DE L OUEST; 0/2;17-25,15-25;32-50;JEAN JAHAN 2;LORILLON MATTHIS;REISCHEK MAXENCE;
ACJEUNES;01;JMA003;2025-10-12;00:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0491492;SPORTING CLUB DE L OUEST; 2/1;20-25,25-19,15-8;60-52;JEAN JAHAN 2;REISCHEK MAXENCE;LORILLON MATTHIS;
ACJEUNES;01;JMB001;2025-10-12;11:00;0343330;ARAGO DE SETE VOLLEY-BALL;0349271;MONTPELLIER CASTELNAU VOLLEY UNIVERSITE CLUB; 2/0;25-22,25-17;50-39;MAURICE VIÉ - SETE;BOUACHERIA SEBASTIEN;CASTEL JULES;
ACJEUNES;01;JMB002;2025-10-12;00:00;0349271;MONTPELLIER CASTELNAU VOLLEY UNIVERSITE CLUB;0307732;NIMES VOLLEY-BALL; 2/0;25-9,25-12;50-21;MAURICE VIÉ - SETE;CASTEL JULES;BOUACHERIA SEBASTIEN;
ACJEUNES;01;JMB003;2025-10-12;00:00;0343330;ARAGO DE SETE VOLLEY-BALL;0307732;NIMES VOLLEY-BALL; 2/1;25-6,27-29,15-6;67-41;MAURICE VIÉ - SETE;CASTEL JULES;BOUACHERIA SEBASTIEN;
ACJEUNES;01;JMC001;2025-10-12;14:00;0950023;AS VOLLEY BALL CERGY;0950033;AS. VOLLEY OSNY PONTOISE; 2/0;25-13,25-6;50-19;GYMNASE GWLADYS ÉPANGUE;CARBONNEL FABIEN;;
ACJEUNES;01;JMC002;2025-10-12;00:00;0950033;AS. VOLLEY OSNY PONTOISE;0785464;CONFLANS-ANDRESY-JOUY VB; 0/2;15-25,16-25;31-50;GYMNASE GWLADYS ÉPANGUE;CARBONNEL FABIEN;;
ACJEUNES;01;JMC003;2025-10-12;00:00;0950023;AS VOLLEY BALL CERGY;0785464;CONFLANS-ANDRESY-JOUY VB; 2/1;21-25,25-18,15-8;61-51;GYMNASE GWLADYS ÉPANGUE;CARBONNEL FABIEN;;
ACJEUNES;01;JMD001;2025-10-12;11:00;0565019;PATRONAGE LAIQUE LORIENT;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR; 2/1;32-30,21-25,15-11;68-66;SALLE OMNISPORT DU MOUSTOIR;DEVLIEGHERE WENDY;TAURAA CAROLINE;
ACJEUNES;01;JMD002;2025-10-12;00:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;0449605;ST NAZAIRE VB ATLANTIQUE; 0/2;22-25,21-25;43-50;SALLE OMNISPORT DU MOUSTOIR;TAURAA CAROLINE;DEVLIEGHERE WENDY;
ACJEUNES;01;JMD003;2025-10-12;00:00;0565019;PATRONAGE LAIQUE LORIENT;0449605;ST NAZAIRE VB ATLANTIQUE; 0/2;16-25,18-25;34-50;SALLE OMNISPORT DU MOUSTOIR;TAURAA CAROLINE;DEVLIEGHERE WENDY;
ACJEUNES;01;JME001;2025-10-12;11:00;0679843;MOLSHEIM OLYMPIQUE CLUB;0674157;STRASBOURG UNIVERSITE CLUB; 0/2;16-25,11-25;27-50;AGR;LITZLER DAVID;OUABDESSELAM LYNA;
ACJEUNES;01;JME002;2025-10-12;00:00;0674157;STRASBOURG UNIVERSITE CLUB;0671552;VOLLEY-BALL CLUB DE MUNDOLSHEIM; 2/0;25-10,25-20;50-30;AGR;OUABDESSELAM LYNA;LITZLER DAVID;
ACJEUNES;01;JME003;2025-10-12;00:00;0679843;MOLSHEIM OLYMPIQUE CLUB;0671552;VOLLEY-BALL CLUB DE MUNDOLSHEIM; 2/0;25-23,25-16;50-39;AGR;LITZLER DAVID;OUABDESSELAM LYNA;
