Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;MFA001;2025-10-05;10:00;0358314;MONTGERMONT VOLLEY-BALL CLUB;0351417;RENNES ETUDIANTS CLUB; 2/0;25-14,25-20;50-34;SALLE DES COURTINES;PRESCHOUX BLANDINE;MICHEL HIVER ANNA;
ACJEUNES;01;MFA002;2025-10-05;00:00;0351417;RENNES ETUDIANTS CLUB;0564003;VANNES VOLLEY 56; 2/0;25-23,25-23;50-46;SALLE DES COURTINES;MICHEL HIVER ANNA;PRESCHOUX BLANDINE;
ACJEUNES;01;MFA003;2025-10-05;00:00;0358314;MONTGERMONT VOLLEY-BALL CLUB;0564003;VANNES VOLLEY 56; 2/0;25-22,25-23;50-45;SALLE DES COURTINES;MICHEL HIVER ANNA;PRESCHOUX BLANDINE;
ACJEUNES;01;MFB001;2025-10-05;11:00;0119381;M.J.C. COURSAN;0114939;NARBONNE VOLLEY; 0/2;9-25,13-25;22-50;MICHEL BARRIERE;BONNAFOUS ETIENNE;BERTRAND JOELLE;
ACJEUNES;01;MFB002;2025-10-05;00:00;0114939;NARBONNE VOLLEY;0340015;BEZIERS VOLLEY; 2/0;25-18,25-19;50-37;MICHEL BARRIERE;BERTRAND JOELLE;BONNAFOUS ETIENNE;
ACJEUNES;01;MFB003;2025-10-05;00:00;0119381;M.J.C. COURSAN;0340015;BEZIERS VOLLEY; 0/2;5-25,22-25;27-50;MICHEL BARRIERE;BONNAFOUS ETIENNE;BERTRAND JOELLE;
ACJEUNES;01;MFC001;2025-10-05;11:00;0590024;VOLLEY-BALL CLUB SARRASIN;0599512;VC AMICALISTE D'AULNOY; 2/0;25-8,25-14;50-22;SALLE DES SPORTS;DE PARMENTIER JEAN-CLAUDE;SZUMLANSKI MANAËLLE;
ACJEUNES;01;MFC002;2025-10-05;00:00;0599512;VC AMICALISTE D'AULNOY;0028567;F.L. ST QUENTIN VOLLEY-BALL; 0/2;2-25,3-25;5-50;SALLE DES SPORTS;DE PARMENTIER JEAN-CLAUDE;SZUMLANSKI MANAËLLE;
ACJEUNES;01;MFC003;2025-10-05;00:00;0590024;VOLLEY-BALL CLUB SARRASIN;0028567;F.L. ST QUENTIN VOLLEY-BALL; 0/2;17-25,14-25;31-50;SALLE DES SPORTS;SZUMLANSKI MANAËLLE;DE PARMENTIER JEAN-CLAUDE;
ACJEUNES;01;MFD001;2025-10-05;11:00;0945131;RED STAR CLUB CHAMPIGNY;0941410;VIE AU GRAND AIR DE ST MAUR; 2/0;25-20,25-13;50-33;GYMNASE DELAUNE;VITOSEVIC ALEKSANDRA;;
ACJEUNES;01;MFD002;2025-10-05;00:00;0941410;VIE AU GRAND AIR DE ST MAUR;0933876;USM. GAGNY VOLLEY; 2/0;25-20,25-17;50-37;GYMNASE DELAUNE;VITOSEVIC ALEKSANDRA;;
ACJEUNES;01;MFD003;2025-10-05;00:00;0945131;RED STAR CLUB CHAMPIGNY;0933876;USM. GAGNY VOLLEY; 2/0;25-22,25-13;50-35;GYMNASE DELAUNE;VITOSEVIC ALEKSANDRA;;
ACJEUNES;01;MFE001;2025-10-05;10:30;0574034;V.C. HETTANGE/GRANDE SOETRICH;0579619;ASVB YUTZ THIONVILLE; 0/2;4-25,12-25;16-50;GYMNASE PASTEUR;STANCZYKIEWICZ LIONEL;YILDIRIM GUL;
ACJEUNES;01;MFE002;2025-10-05;00:00;0579619;ASVB YUTZ THIONVILLE;0544386;UNION SPORTIVE DU JARNISY; 2/0;25-10,25-20;50-30;GYMNASE PASTEUR;YILDIRIM GUL;STANCZYKIEWICZ LIONEL;
ACJEUNES;01;MFE003;2025-10-05;00:00;0574034;V.C. HETTANGE/GRANDE SOETRICH;0544386;UNION SPORTIVE DU JARNISY; 0/2;6-25,8-25;14-50;GYMNASE PASTEUR;YILDIRIM GUL;STANCZYKIEWICZ LIONEL;
ACJEUNES;01;MFF001;2025-10-05;11:00;0347099;VBC CLERMONTAIS;0344410;ASLJCROIX ARGENT MONTPELLIER; 2/1;25-22,18-25,15-8;58-55;GYMNASE N°2;MOHAMED SAID;ROYO LINDA;
ACJEUNES;01;MFF002;2025-10-05;00:00;0344410;ASLJCROIX ARGENT MONTPELLIER;0817326;CASTRES MASSAGUEL VOLLEY BALL CLUB; 2/0;25-19,25-16;50-35;GYMNASE N°2;MOHAMED SAID;ROYO LINDA;
ACJEUNES;01;MFF003;2025-10-05;00:00;0347099;VBC CLERMONTAIS;0817326;CASTRES MASSAGUEL VOLLEY BALL CLUB; 2/0;25-21,25-16;50-37;GYMNASE N°2;ROYO LINDA;MOHAMED SAID;
ACJEUNES;01;MFG001;2025-10-05;11:00;0673909;SPORT CLUB SELESTAT V.B.;0675289;A.S. VALLEE DE LA SAUER; 0/2;17-25,20-25;37-50;GYMNASE KOEBERLÉ;DORN ERIC;DORN EMMY;
ACJEUNES;01;MFG002;2025-10-05;00:00;0675289;A.S. VALLEE DE LA SAUER;0683731;VOLLEY-BALL CLUB DU RHIN; 2/1;12-25,26-24,15-1;53-50;GYMNASE KOEBERLÉ;DORN EMMY;DORN ERIC;
ACJEUNES;01;MFG003;2025-10-05;00:00;0673909;SPORT CLUB SELESTAT V.B.;0683731;VOLLEY-BALL CLUB DU RHIN; 2/0;25-20,25-21;50-41;GYMNASE KOEBERLÉ;DORN EMMY;DORN ERIC;
ACJEUNES;01;MFH001;2025-10-05;11:00;0576588;METZ VOLLEY-BALL;0575650;MAIZIERES ATHLETIC CLUB VOLLEY-BALL; 0/2;21-25,18-25;39-50;GYMNASE JEAN ROSTAND;HRIDASOVA SOFIIA;PIERRAT THÉO;
ACJEUNES;01;MFH002;2025-10-05;00:00;0575650;MAIZIERES ATHLETIC CLUB VOLLEY-BALL;0543620;VANDOEUVRE-NANCY VOLLEY-BALL; 0/2;19-25,6-25;25-50;GYMNASE JEAN ROSTAND;PIERRAT THÉO;HRIDASOVA SOFIIA;
ACJEUNES;01;MFH003;2025-10-05;00:00;0576588;METZ VOLLEY-BALL;0543620;VANDOEUVRE-NANCY VOLLEY-BALL; 0/2;18-25,9-25;27-50;GYMNASE JEAN ROSTAND;HRIDASOVA SOFIIA;PIERRAT THÉO;
ACJEUNES;01;MFI001;2025-10-05;11:00;0335197;SPORT ATHLETIQUE MERIGNACAIS;0330014;J.S.A. BORDEAUX; 2/1;25-15,19-25,15-7;59-47;ALICE MILLIAT;MOREAU JACQUES;HOSTEINS YANN;
ACJEUNES;01;MFI002;2025-10-05;00:00;0330014;J.S.A. BORDEAUX;0798259;VOLLEY-BALL PEXINOIS NIORT; 0/2;9-25,10-25;19-50;ALICE MILLIAT;HOSTEINS YANN;MOREAU JACQUES;
ACJEUNES;01;MFI003;2025-10-05;00:00;0335197;SPORT ATHLETIQUE MERIGNACAIS;0798259;VOLLEY-BALL PEXINOIS NIORT; 0/2;14-25,7-25;21-50;ALICE MILLIAT;MOREAU JACQUES;HOSTEINS YANN;
ACJEUNES;01;MFJ001;2025-10-05;11:00;0355169;VOLLEY BALL CLUB MALOUIN;0224485;PLANCOET VOLLEY-BALL; 2/0;25-12,25-12;50-24;MARVILLE;MORPHEE TIMEO;LABEAU BERNARD;
ACJEUNES;01;MFJ002;2025-10-05;00:00;0224485;PLANCOET VOLLEY-BALL;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR; 1/2;19-25,25-21,11-15;55-61;MARVILLE;MORPHEE TIMEO;LABEAU BERNARD;
