Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;07;MFB021;2022-04-10;00:00;0027343;VILLERS COTTERETS VOLLEY-BALL;0061297;RACING CLUB DE CANNES; 0/2;17-25,11-25;28-50;COSEC GATINEAU;MELAIA DELIAH;CARAZZAI EMA;
ACJEUNES;07;MFC019;2022-04-10;10:00;0387013;UNION AS. SEYSSINOISE V.B.;0839557;FREJUS VAR VOLLEY; 2/0;25-16,25-21;50-37;YVES BROUZET;KAFIZ MOHAND;BIGANT JEAN-FRANCOIS;
ACJEUNES;07;MFC020;2022-04-10;00:00;0839557;FREJUS VAR VOLLEY;0351428;E.SP. CANTON DE PIPRIAC V.B.; 2/0;25-22,25-18;50-40;YVES BROUZET;KAFIZ MOHAND;BIGANT JEAN-FRANCOIS;
ACJEUNES;07;MFC021;2022-04-10;00:00;0387013;UNION AS. SEYSSINOISE V.B.;0351428;E.SP. CANTON DE PIPRIAC V.B.; 1/2;25-19,17-25,9-15;51-59;YVES BROUZET;BIGANT JEAN-FRANCOIS;KAFIZ MOHAND;
ACJEUNES;07;MFD019;2022-04-10;11:00;0345002;ASBAM MONTPELLIER;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION; 2/1;23-25,25-12,15-11;63-48;MIREILLE BESSIERE;COHEN WILFRID;ROURE ALAIN;
ACJEUNES;07;MFD020;2022-04-10;00:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0590036;VOLLEY CLUB DE VALENCIENNES; 1/2;25-19,26-28,13-15;64-62;MIREILLE BESSIERE;COHEN WILFRID;ROURE ALAIN;
ACJEUNES;07;MFD021;2022-04-10;00:00;0345002;ASBAM MONTPELLIER;0590036;VOLLEY CLUB DE VALENCIENNES; 2/0;25-8,25-13;50-21;MIREILLE BESSIERE;ROURE ALAIN;COHEN WILFRID;
ACJEUNES;07;MFE019;2022-04-10;11:00;0138032;PAYS D'AIX VENELLES V.B.;0136761;ISTRES PROVENCE VOLLEY; 1/2;25-17,18-25,4-15;47-57;HALLE CARCARSSONNE;DUSSERRE ENZO;BOULANGER JONAS;
ACJEUNES;07;MFE020;2022-04-10;00:00;0136761;ISTRES PROVENCE VOLLEY;0788680;AS. SP DE SARTROUVILLE; 0/2;20-25,11-25;31-50;HALLE CARCARSSONNE;BOULANGER JONAS;DUSSERRE ENZO;
ACJEUNES;07;MFE021;2022-04-10;00:00;0138032;PAYS D'AIX VENELLES V.B.;0788680;AS. SP DE SARTROUVILLE; 0/2;17-25,17-25;34-50;HALLE CARCARSSONNE;DUSSERRE ENZO;BOULANGER JONAS;
ACJEUNES;99;MFA022;2022-05-20;10:30;0061297;RACING CLUB DE CANNES;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION; 2/0;25-15,25-12;50-27;Terrain 1;LEGER OLIVIER;CARLOTTI PIERRE;
