Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;CMA001;2021-10-17;13:00;0066927;NICE VOLLEY-BALL;0062701;ASS SPORTIVE DE MONACO; 1/2;19-25,25-18,17-19;61-62;PALMEIRA-GIAMARCHI;TOUSSAINT ANDRE-LUC;DAUSSIN ROMAIN;
ACJEUNES;01;CMA002;2021-10-17;00:00;0062701;ASS SPORTIVE DE MONACO;02A5803;GFCA VOLLEY-BALL; 2/1;21-25,25-15,15-12;61-52;PALMEIRA-GIAMARCHI;DAUSSIN ROMAIN;TOUSSAINT ANDRE-LUC;
ACJEUNES;01;CMA003;2021-10-17;00:00;0066927;NICE VOLLEY-BALL;02A5803;GFCA VOLLEY-BALL; 0/2;24-26,12-25;36-51;PALMEIRA-GIAMARCHI;TOUSSAINT ANDRE-LUC;DAUSSIN ROMAIN;
ACJEUNES;01;CMB001;2021-10-17;11:30;0060036;PAYS DE GRASSE VOLLEY-BALL;0067689;US CAGNES VOLLEY-BALL; 2/0;25-19,25-19;50-38;SALLE OMNISPORTS;ALBERT DAVID;LEBONNOIS NOAM;
ACJEUNES;01;CMB002;2021-10-17;00:00;0067689;US CAGNES VOLLEY-BALL;0839557;FREJUS VAR VOLLEY; 0/2;12-25,9-25;21-50;SALLE OMNISPORTS;ALBERT DAVID;LEBONNOIS NOAM;
ACJEUNES;01;CMB003;2021-10-17;00:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0839557;FREJUS VAR VOLLEY; 2/0;25-16,25-20;50-36;SALLE OMNISPORTS;LEBONNOIS NOAM;ALBERT DAVID;
ACJEUNES;01;CMC001;2021-10-17;11:00;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE;0837251;VOLLEY BALL OLLIOULAIS; 2/0;25-11,25-12;50-23;GYMNASE DE COSTEBELLE;FERRE CHRISTOPHE;HARDION PHILIPPE;
ACJEUNES;01;CMC002;2021-10-17;00:00;0837251;VOLLEY BALL OLLIOULAIS;0060007;AS CANNES VOLLEY-BALL; 0/2;8-25,11-25;19-50;GYMNASE DE COSTEBELLE;FERRE CHRISTOPHE;HARDION PHILIPPE;
ACJEUNES;01;CMC003;2021-10-17;00:00;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE;0060007;AS CANNES VOLLEY-BALL; 0/2;11-25,16-25;27-50;GYMNASE DE COSTEBELLE;HARDION PHILIPPE;FERRE CHRISTOPHE;
ACJEUNES;01;CMD001;2021-10-17;11:00;0837903;UNION ATHLETIQUE VALETTOISE;0833350;VOLLEY PRADETAN GARDEEN; 0/2;10-25,17-25;27-50;SANTONI;LIMACHER LIONEL;ADORA LOIC;
ACJEUNES;01;CMD002;2021-10-17;00:00;0833350;VOLLEY PRADETAN GARDEEN;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL; 2/0;25-10,25-15;50-25;SANTONI;ADORA LOIC;LIMACHER LIONEL;
ACJEUNES;01;CMD003;2021-10-17;00:00;0837903;UNION ATHLETIQUE VALETTOISE;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL; 0/2;18-25,17-25;35-50;SANTONI;LIMACHER LIONEL;ADORA LOIC;
ACJEUNES;01;CME001;2021-10-17;11:00;0132351;SALON VOLLEY;0842405;ESPERANCE MORIERES VOLLEY-BALL; 2/0;25-12,25-8;50-20;LURIAN;HUMBERT RIDET DYLAN;DUSSERRE ENZO;
ACJEUNES;01;CME002;2021-10-17;00:00;0842405;ESPERANCE MORIERES VOLLEY-BALL;0132348;MARSEILLE VOLLEY 13; 0/2;5-25,4-25;9-50;LURIAN;HUMBERT RIDET DYLAN;DUSSERRE ENZO;
ACJEUNES;01;CME003;2021-10-17;00:00;0132351;SALON VOLLEY;0132348;MARSEILLE VOLLEY 13; 0/2;12-25,23-25;35-50;LURIAN;DUSSERRE ENZO;HUMBERT RIDET DYLAN;
ACJEUNES;01;CMF001;2021-10-17;11:00;0138350;COUDOUX VELAUX LA FARE VOLLEY-BALL;0132346;MARIGNANE VOLLEY-BALL; 0/2;8-25,8-25;16-50;GYMNASE ALBERT CAMUS;MBARKI BILAL;BOULANGER JONAS;
ACJEUNES;01;CMF002;2021-10-17;00:00;0132346;MARIGNANE VOLLEY-BALL;0139148;VOLLEY-BALL ARLESIEN; 2/0;25-7,25-15;50-22;GYMNASE ALBERT CAMUS;BOULANGER JONAS;MBARKI BILAL;
ACJEUNES;01;CMF003;2021-10-17;00:00;0138350;COUDOUX VELAUX LA FARE VOLLEY-BALL;0139148;VOLLEY-BALL ARLESIEN; 0/2;13-25,23-25;36-50;GYMNASE ALBERT CAMUS;MBARKI BILAL;BOULANGER JONAS;
ACJEUNES;01;CMG001;2021-10-17;11:00;0842424;AVIGNON VOLLEY BALL;0264643;MONTELIMAR VOLLEY; 0/2;16-25,24-26;40-51;ROUMANILLE;COMTE AGATHE;MULLER THIERRY;
ACJEUNES;01;CMG002;2021-10-17;00:00;0264643;MONTELIMAR VOLLEY;0344410;ASLJCROIX ARGENT MONTPELLIER; 2/0;25-20,25-19;50-39;ROUMANILLE;MULLER THIERRY;COMTE AGATHE;
ACJEUNES;01;CMG003;2021-10-17;00:00;0842424;AVIGNON VOLLEY BALL;0344410;ASLJCROIX ARGENT MONTPELLIER; 2/0;25-21,25-22;50-43;ROUMANILLE;COMTE AGATHE;MULLER THIERRY;
ACJEUNES;01;CMH001;2021-10-17;11:00;0429687;CLUB ATHLETIQUE DE ST ETIENNE;0424347;FIRMINY VOLLEY-BALL; 2/0;25-8,25-9;50-17;GYMNASE VILLEBOEUF;CHIRAT RODOLPHE;MAISONNETTE MATHIEU;
ACJEUNES;01;CMH002;2021-10-17;00:00;0424347;FIRMINY VOLLEY-BALL;0693938;CLUB RHODIA VAISE; 1/2;28-26,25-27,6-15;59-68;GYMNASE VILLEBOEUF;MAISONNETTE MATHIEU;CHIRAT RODOLPHE;
ACJEUNES;01;CMH003;2021-10-17;00:00;0429687;CLUB ATHLETIQUE DE ST ETIENNE;0693938;CLUB RHODIA VAISE; 2/0;25-11,25-21;50-32;GYMNASE VILLEBOEUF;MAISONNETTE MATHIEU;CHIRAT RODOLPHE;
ACJEUNES;01;CMI001;2021-10-17;11:00;0735001;AMICALE LAIQUE CHAMBERY V.B.;0745091;ANNECY VOLLEY BALL; 0/2;21-25,15-25;36-50;MÉRANDE;TEKUATAOA TEVAI;MARTOS SEBASTIEN;
ACJEUNES;01;CMI002;2021-10-17;00:00;0745091;ANNECY VOLLEY BALL;0382201;GRENOBLE V.UNIVERSITE CLUB; 1/2;20-25,25-23,7-15;52-63;MÉRANDE;MARTOS SEBASTIEN;TEKUATAOA TEVAI;
ACJEUNES;01;CMI003;2021-10-17;00:00;0735001;AMICALE LAIQUE CHAMBERY V.B.;0382201;GRENOBLE V.UNIVERSITE CLUB; 1/2;26-24,13-25,9-15;48-64;MÉRANDE;TEKUATAOA TEVAI;MARTOS SEBASTIEN;
ACJEUNES;01;CMJ001;2021-10-17;11:00;0385990;US ST EGREVOISE;0387013;UNION AS. SEYSSINOISE V.B.; 1/2;22-25,25-12,11-15;58-52;PREDIEU;FABARON INES;PLACETTE THIERRY;
ACJEUNES;01;CMJ002;2021-10-17;00:00;0387013;UNION AS. SEYSSINOISE V.B.;0380027;VOLLEY LA TOUR DU PIN; 2/0;25-19,25-20;50-39;PREDIEU;PLACETTE THIERRY;FABARON INES;
ACJEUNES;01;CMJ003;2021-10-17;00:00;0385990;US ST EGREVOISE;0380027;VOLLEY LA TOUR DU PIN; 2/0;25-10,25-13;50-23;PREDIEU;FABARON INES;PLACETTE THIERRY;
ACJEUNES;01;CMK001;2021-10-17;11:00;0384638;CS BOURGOIN JALLIEU;0386331;ENT SPORT MEYLAN LA TRONCHE; 0/2;10-25,15-25;25-50;PALAIS DES SPORTS;BASSET LIONEL;PEROTTI MARC;
ACJEUNES;01;CMK002;2021-10-17;00:00;0386331;ENT SPORT MEYLAN LA TRONCHE;0698828;VBC FRANCHEVILLE OUEST LYONNAIS; 0/2;19-25,16-25;35-50;PALAIS DES SPORTS;PEROTTI MARC;BASSET LIONEL;
ACJEUNES;01;CMK003;2021-10-17;00:00;0384638;CS BOURGOIN JALLIEU;0698828;VBC FRANCHEVILLE OUEST LYONNAIS; 0/2;13-25,11-25;24-50;PALAIS DES SPORTS;BASSET LIONEL;PEROTTI MARC;
ACJEUNES;01;CML001;2021-10-17;11:00;0690033;CLUB OMNISPORTS DE SAINT-FONS;0699603;ASUL LYON VOLLEY BALL; 0/2;7-25,9-25;16-50;PALAIS DES SPORTS;TOUH AMINE;MATHONNET THIBAUT;
ACJEUNES;01;CML002;2021-10-17;00:00;0699603;ASUL LYON VOLLEY BALL;0696380;AS CALUIRE ET CUIRE; 2/0;25-23,25-23;50-46;PALAIS DES SPORTS;MATHONNET THIBAUT;TOUH AMINE;
ACJEUNES;01;CML003;2021-10-17;00:00;0690033;CLUB OMNISPORTS DE SAINT-FONS;0696380;AS CALUIRE ET CUIRE; 0/2;11-25,6-25;17-50;PALAIS DES SPORTS;TOUH AMINE;MATHONNET THIBAUT;
ACJEUNES;01;CMM001;2021-10-17;11:00;0716088;CREUSOT VOLLEY-BALL;0693332;VOLLEY-BALL VILLEFRANCHE BEAUJOLAIS; 1/2;25-18,12-25,10-15;47-58;HALLE DES SPORTS;BANOS SERGE;SAINT VOIRIN VINCENT;
ACJEUNES;01;CMM002;2021-10-17;00:00;0693332;VOLLEY-BALL VILLEFRANCHE BEAUJOLAIS;0255807;ASPTT BESANCON; 2/0;25-12,25-15;50-27;HALLE DES SPORTS;SAINT VOIRIN VINCENT;BANOS SERGE;
ACJEUNES;01;CMM003;2021-10-17;00:00;0716088;CREUSOT VOLLEY-BALL;0255807;ASPTT BESANCON; 2/0;25-7,25-14;50-21;HALLE DES SPORTS;BANOS SERGE;SAINT VOIRIN VINCENT;
ACJEUNES;01;CMN001;2021-10-17;11:00;0216180;VOLLEY CLUB CHENOVE;0693493;PATRIOTE ENTRAIN DE SAINT DENIS (LYON PESD); 0/2;16-25,7-25;23-50;GYMNASE EDOUARD HERRIOT;REMY MARGOT;CALISSANO JUSTINE;
ACJEUNES;01;CMN002;2021-10-17;00:00;0693493;PATRIOTE ENTRAIN DE SAINT DENIS (LYON PESD);0255795;BESANCON VOLLEY-BALL; 1/2;25-18,19-25,8-15;52-58;GYMNASE EDOUARD HERRIOT;REMY MARGOT;CALISSANO JUSTINE;
ACJEUNES;01;CMN003;2021-10-17;00:00;0216180;VOLLEY CLUB CHENOVE;0255795;BESANCON VOLLEY-BALL; 0/2;7-25,4-25;11-50;GYMNASE EDOUARD HERRIOT;REMY MARGOT;CALISSANO JUSTINE;
ACJEUNES;01;CMO001;2021-10-17;11:00;0523906;CHAUMONT VOLLEY-BALL 52;0102303;PATRONAGE LAIQUE 010 V.B.; 2/0;27-25,27-25;54-50;JEAN MASSON;CLAUDON MATTHIEU;SAYAG MARVYN;
ACJEUNES;01;CMO002;2021-10-17;00:00;0102303;PATRONAGE LAIQUE 010 V.B.;0545068;CO VILLERS LES NANCY; 2/0;25-7,25-19;50-26;JEAN MASSON;CLAUDON MATTHIEU;SAYAG MARVYN;
ACJEUNES;01;CMO003;2021-10-17;00:00;0523906;CHAUMONT VOLLEY-BALL 52;0545068;CO VILLERS LES NANCY; 2/0;25-5,25-14;50-19;JEAN MASSON;SAYAG MARVYN;CLAUDON MATTHIEU;
ACJEUNES;01;CMP001;2021-10-17;11:00;0679843;MOLSHEIM OLYMPIQUE CLUB;0674157;STRASBOURG UNIVERSITE CLUB; 0/2;19-25,10-25;29-50;GYMNASE DU COLLEGE DE MUTZIG;COSSON FREDERIC;PFRIMMER DANIEL;
ACJEUNES;01;CMP002;2021-10-17;00:00;0674157;STRASBOURG UNIVERSITE CLUB;0686678;AS SP ILLZACH MODENHEIM; 0/2;21-25,14-25;35-50;GYMNASE DU COLLEGE DE MUTZIG;PFRIMMER DANIEL;COSSON FREDERIC;
ACJEUNES;01;CMP003;2021-10-17;00:00;0679843;MOLSHEIM OLYMPIQUE CLUB;0686678;AS SP ILLZACH MODENHEIM; 0/2;20-25,17-25;37-50;GYMNASE DU COLLEGE DE MUTZIG;COSSON FREDERIC;PFRIMMER DANIEL;
ACJEUNES;01;CMQ001;2021-10-17;09:00;0675406;VOLLEY-BALL CLUB STRASBOURG VBCS;0685479;UNION SPORTIVE MULHOUSE VOLLEY; 2/0;25-11,25-16;50-27;JEAN NICOLAS MULLER 2;GUERY NICOLAS;NASSER ANTHOUMANI;
ACJEUNES;01;CMQ002;2021-10-17;00:00;0685479;UNION SPORTIVE MULHOUSE VOLLEY;0575650;MAIZIERES ATHLETIC CLUB VOLLEY-BALL; 0/2;10-25,16-25;26-50;JEAN NICOLAS MULLER 2;GUERY NICOLAS;NASSER ANTHOUMANI;
ACJEUNES;01;CMQ003;2021-10-17;00:00;0675406;VOLLEY-BALL CLUB STRASBOURG VBCS;0575650;MAIZIERES ATHLETIC CLUB VOLLEY-BALL; 0/2;22-25,16-25;38-50;JEAN NICOLAS MULLER 2;NASSER ANTHOUMANI;GUERY NICOLAS;
ACJEUNES;01;CMR001;2021-10-17;11:00;0885362;EPINAL GOLBEY VOLLEY-BALL (EGVB);0884751;ASS SPORTIVE DE GERARDMER; 2/0;25-18,25-22;50-40;VIVIANI;TSAGOURIS DIMITRI;MAUBE HUET EVAN;
ACJEUNES;01;CMR002;2021-10-17;00:00;0884751;ASS SPORTIVE DE GERARDMER;0579619;ASVB YUTZ THIONVILLE; 1/2;25-17,17-25,5-15;47-57;VIVIANI;MAUBE HUET EVAN;TSAGOURIS DIMITRI;
ACJEUNES;01;CMR003;2021-10-17;00:00;0885362;EPINAL GOLBEY VOLLEY-BALL (EGVB);0579619;ASVB YUTZ THIONVILLE; 1/2;15-25,25-23,13-15;53-63;VIVIANI;TSAGOURIS DIMITRI;MAUBE HUET EVAN;
ACJEUNES;01;CMS001;2021-10-17;11:00;0028567;F.L. ST QUENTIN VOLLEY-BALL;0023697;LAON VOLLEY BALL; 2/0;25-6,25-19;50-25;GYMNASE PIERRE LAROCHE;DURIEUX YANNICK;;
ACJEUNES;01;CMS002;2021-10-17;00:00;0023697;LAON VOLLEY BALL;0590025;AMICALE CENTRE HELLEMMES VOLLEY-BALL; 2/1;17-25,25-20,15-9;57-54;GYMNASE PIERRE LAROCHE;DURIEUX YANNICK;;
ACJEUNES;01;CMS003;2021-10-17;00:00;0028567;F.L. ST QUENTIN VOLLEY-BALL;0590025;AMICALE CENTRE HELLEMMES VOLLEY-BALL; 2/1;25-27,25-18,15-9;65-54;GYMNASE PIERRE LAROCHE;DURIEUX YANNICK;;
ACJEUNES;01;CMT001;2021-10-17;11:00;0593336;ST MICHEL SPORTS MARQUETTE;0595763;VOLLEY BALL CLUB WATTIGNIES; 1/2;25-23,22-25,11-15;58-63;CENTRE SPORTIF;RAGUET PATRICK;;
ACJEUNES;01;CMT002;2021-10-17;00:00;0595763;VOLLEY BALL CLUB WATTIGNIES;0594680;TOURCOING VOLLEY-BALL L.M.; 2/0;25-14,25-22;50-36;CENTRE SPORTIF;RAGUET PATRICK;;
ACJEUNES;01;CMT003;2021-10-17;00:00;0593336;ST MICHEL SPORTS MARQUETTE;0594680;TOURCOING VOLLEY-BALL L.M.; 2/0;25-11,25-20;50-31;CENTRE SPORTIF;RAGUET PATRICK;;
ACJEUNES;01;CMU001;2021-10-17;10:00;0595407;UNION SPORTIVE DE ST ANDRE;0590024;VOLLEY-BALL CLUB SARRASIN; 2/0;25-22,25-16;50-38;DUCROCQ;HABOUL ATIF;;
ACJEUNES;01;CMU002;2021-10-17;00:00;0590024;VOLLEY-BALL CLUB SARRASIN;0597584;VOLLEY CLUB MOUVALLOIS; 0/2;10-25,13-25;23-50;DUCROCQ;HABOUL ATIF;;
