Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;03;BMN007;2021-12-12;11:00;0868442;VOUILLE VOLLEY BALL;0442477;AILES SP BOUGUENAIS REZE; 1/2;25-22,18-25,9-15;52-62;GYMNASE DES MAILLOTS;LE ROY PHILIPPE;;
ACJEUNES;03;BMN008;2021-12-12;00:00;0442477;AILES SP BOUGUENAIS REZE;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR; 2/0;25-18,25-13;50-31;GYMNASE DES MAILLOTS;LE ROY PHILIPPE;;
ACJEUNES;03;BMN009;2021-12-12;00:00;0868442;VOUILLE VOLLEY BALL;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR; 2/0;25-19,25-23;50-42;GYMNASE DES MAILLOTS;LE ROY PHILIPPE;;
ACJEUNES;03;BMO007;2021-12-12;11:00;0449605;ST NAZAIRE VB ATLANTIQUE;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION; 2/0;25-9,25-12;50-21;COUBERTIN;MOKAHLI ESSABAG ABDELHAMID;;
ACJEUNES;03;BMO008;2021-12-12;00:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0374861;TOURS VOLLEY-BALL; 0/2;17-25,23-25;40-50;COUBERTIN;MOKAHLI ESSABAG ABDELHAMID;;
ACJEUNES;03;BMO009;2021-12-12;00:00;0449605;ST NAZAIRE VB ATLANTIQUE;0374861;TOURS VOLLEY-BALL; 2/0;25-15,25-13;50-28;COUBERTIN;MOKAHLI ESSABAG ABDELHAMID;;
ACJEUNES;03;BMP007;2022-01-02;11:00;0761503;MAROMME CANTELEU VOLLEY 76;0929372;PLESSIS-ROBINSON VOLLEY-BALL; 2/0;25-18,25-19;50-37;HESS;LARIBI AMGED;;
ACJEUNES;03;BMP008;2022-01-02;00:00;0929372;PLESSIS-ROBINSON VOLLEY-BALL;0534442;ASPTT LAVAL; 0/2;19-25,22-25;41-50;HESS;LARIBI AMGED;;
ACJEUNES;03;BMP009;2022-01-02;00:00;0761503;MAROMME CANTELEU VOLLEY 76;0534442;ASPTT LAVAL; 1/2;25-23,22-25,12-15;59-63;HESS;LARIBI AMGED;;
ACJEUNES;03;BMQ007;2021-12-12;11:00;0596135;VOLLEY CLUB DE CAMBRAI;0595712;VOLLEY CLUB SAINT POLOIS; 1/2;25-23,14-25,7-15;46-63;GYMNASE PASTEUR;RICHART OLIVIER;;
ACJEUNES;03;BMQ008;2021-12-12;00:00;0595712;VOLLEY CLUB SAINT POLOIS;0912770;ASV - ARTS ET SPORTS A VILLEBON; 2/1;20-25,25-19,15-11;60-55;GYMNASE PASTEUR;RICHART OLIVIER;;
ACJEUNES;03;BMQ009;2021-12-12;00:00;0596135;VOLLEY CLUB DE CAMBRAI;0912770;ASV - ARTS ET SPORTS A VILLEBON; 0/2;19-25,15-25;34-50;GYMNASE PASTEUR;RICHART OLIVIER;;
ACJEUNES;03;BMR007;2021-12-12;11:00;0785464;CONFLANS-ANDRESY-JOUY VB;0622126;HARNES VOLLEY-BALL; 0/2;13-25,15-25;28-50;GYMNASE BEREGOVOY;TISSERAND ALISSON;;
ACJEUNES;03;BMR008;2021-12-12;00:00;0622126;HARNES VOLLEY-BALL;0628128;LOISIRS INTER SPORT ST PIERRE; 0/2;24-26,21-25;45-51;GYMNASE BEREGOVOY;TISSERAND ALISSON;;
ACJEUNES;03;BMR009;2021-12-12;00:00;0785464;CONFLANS-ANDRESY-JOUY VB;0628128;LOISIRS INTER SPORT ST PIERRE; 0/2;23-25,19-25;42-50;GYMNASE BEREGOVOY;TISSERAND ALISSON;;
ACJEUNES;03;BMS007;2021-12-12;11:00;0803781;LONGUEAU AMIENS METROPOLE VOLLEY-BALL;0757954;PARIS AMICALE CAMOU; 0/2;14-25,13-25;27-50;GYMNASE HEDE;ELOY GUILLAUME;;
ACJEUNES;03;BMS008;2021-12-12;00:00;0757954;PARIS AMICALE CAMOU;0921672;SAINT-CLOUD PARIS SF; 0/2;14-25,6-25;20-50;GYMNASE HEDE;ELOY GUILLAUME;;
ACJEUNES;03;BMS009;2021-12-12;00:00;0803781;LONGUEAU AMIENS METROPOLE VOLLEY-BALL;0921672;SAINT-CLOUD PARIS SF; 0/2;15-25,15-25;30-50;GYMNASE HEDE;ELOY GUILLAUME;;
