Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;15;2FB074;2024-03-24;16:00;0788680;AS. SP DE SARTROUVILLE;0335197;SPORT ATHLETIQUE MERIGNACAIS; 3/1;25-23,18-25,25-21,25-13;93-82;JOLIOT CURIE;DECORDE CEDRIC;AHMED ALI NADIR;
ABCCS;15;2FB075;2024-03-24;14:00;0920003;UGS VOLLEY SEINE OUEST;0646282;MJC LES FLEURS DE PAU; 3/2;23-25,25-16,23-25,25-18,15-8;111-92;GYMNASE DES 100 GARDES;ABBAS MEHDI;COMBE PHILIPPE;
ABCCS;16;2FB076;2024-04-14;15:00;0646282;MJC LES FLEURS DE PAU;;xxxxx;;;;LEO LAGRANGE;;;
ABCCS;16;2FB077;2024-04-14;14:00;0335197;SPORT ATHLETIQUE MERIGNACAIS;0920003;UGS VOLLEY SEINE OUEST;;;;DANIEL COLOMBIER;RAT BENJAMIN;GHENIMI NOUR'AMIR;
ABCCS;16;2FB078;2024-03-27;20:00;0921672;SAINT-CLOUD PARIS SF 2 CFC;0788680;AS. SP DE SARTROUVILLE; 3/2;25-19,20-25,25-20,20-25,16-14;106-103;GYMNASE VERHAEREN;AGESILAS YAEL;VAURETTE VINCENT;
ABCCS;16;2FB079;2024-04-14;14:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0798259;VOLLEY-BALL PEXINOIS NIORT;;;;PIERRE FAVRE;BEAUDOUIN MATTHIEU;VIDAL BRUNO;
ABCCS;16;2FB080;2024-04-14;14:00;0330014;J.S.A. BORDEAUX;0948308;UNION SPORTIVE DE VILLEJUIF;;;;SALLE MAITRE JEAN;GOZLAN STEPHANE;COMBE PIERRE;
ABCCS;17;2FB081;2024-04-28;15:00;;xxxxx;0948308;UNION SPORTIVE DE VILLEJUIF;;;;SALLE DU GRAVION;;;
ABCCS;17;2FB082;2024-04-28;15:00;0798259;VOLLEY-BALL PEXINOIS NIORT;0330014;J.S.A. BORDEAUX;;;;HENRI BARBUSSE;DESSALLES CLEMENT;EL ASBAHANI NAJIB;
ABCCS;17;2FB083;2024-04-28;16:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0788680;AS. SP DE SARTROUVILLE;;;;PIERRE FAVRE;SIMON ERIC;VIDAL BRUNO;
ABCCS;17;2FB084;2024-04-27;20:30;0920003;UGS VOLLEY SEINE OUEST;0921672;SAINT-CLOUD PARIS SF 2 CFC;;;;GYMNASE DES 100 GARDES;RAKIC LAZAR;TRUONG KIM;
ABCCS;17;2FB085;2024-04-28;15:00;0646282;MJC LES FLEURS DE PAU;0335197;SPORT ATHLETIQUE MERIGNACAIS;;;;LEO LAGRANGE;COMBE PIERRE;MOUDACHE LYES;
ABCCS;18;2FB086;2024-05-05;14:00;0335197;SPORT ATHLETIQUE MERIGNACAIS;;xxxxx;;;;DANIEL COLOMBIER;;;
ABCCS;18;2FB087;2024-05-05;16:00;0921672;SAINT-CLOUD PARIS SF 2 CFC;0646282;MJC LES FLEURS DE PAU;;;;GYMNASE VERHAEREN;MORTIER FRANCOIS;PAGA GILLES;
ABCCS;18;2FB088;2024-05-05;14:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0920003;UGS VOLLEY SEINE OUEST;;;;PIERRE FAVRE;PECALVEL CLEMENT;GHENIMI NOUR'AMIR;
ABCCS;18;2FB089;2024-05-05;14:00;0330014;J.S.A. BORDEAUX;0788680;AS. SP DE SARTROUVILLE;;;;SALLE MAITRE JEAN;RAT BENJAMIN;GUIGNAN MAEVA;
ABCCS;18;2FB090;2024-05-05;14:00;0948308;UNION SPORTIVE DE VILLEJUIF;0798259;VOLLEY-BALL PEXINOIS NIORT;;;;HALLE COLETTE BESSON;SAYAG MARVYN;JAMET ADRIEN;
