Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;CFA001;2024-10-13;11:00;0298912;CONCARNEAU VOLLEY;0564002;LANESTER LES DEUX RIVIERES VOLLEY-BALL; 0/2;20-25,14-25;34-50;HALLE DES SPORTS DU PORZOU;ANCEL AELIA;;
ACJEUNES;01;CFA002;2024-10-13;00:00;0564002;LANESTER LES DEUX RIVIERES VOLLEY-BALL;0293600;SAINT-RENAN IROISE VOLLEY; 2/0;25-16,25-16;50-32;HALLE DES SPORTS DU PORZOU;ANCEL AELIA;;
ACJEUNES;01;CFA003;2024-10-13;00:00;0298912;CONCARNEAU VOLLEY;0293600;SAINT-RENAN IROISE VOLLEY; 2/0;25-9,25-21;50-30;HALLE DES SPORTS DU PORZOU;ANCEL AELIA;;
ACJEUNES;01;CFB001;2024-10-13;11:00;0299615;HEOL SANTEC;0567700;LA GUIDELOISE; 2/0;25-4,25-20;50-24;SALLE OMNISPORTS;;PRIOU BRUNO;
ACJEUNES;01;CFB002;2024-10-13;00:00;0567700;LA GUIDELOISE;0293606;KLOAR-AVEN VB 29; 0/2;21-25,14-25;35-50;SALLE OMNISPORTS;PRIOU BRUNO;;
ACJEUNES;01;CFB003;2024-10-13;00:00;0299615;HEOL SANTEC;0293606;KLOAR-AVEN VB 29; 2/1;23-25,25-19,15-6;63-50;SALLE OMNISPORTS;PRIOU BRUNO;;
ACJEUNES;01;CFC001;2024-10-13;11:00;0293684;ETOILE SAINT-LAURENT VB METROPOLE BREST;0299370;QUIMPER VOLLEY 29; 0/2;6-25,13-25;19-50;GYMNASE PEN AR C'HLEUZ;ELIES SYLVAIN;;
ACJEUNES;01;CFC002;2024-10-13;00:00;0299370;QUIMPER VOLLEY 29;0224485;PLANCOET VOLLEY-BALL; 2/0;25-6,25-11;50-17;GYMNASE PEN AR C'HLEUZ;ELIES SYLVAIN;;
ACJEUNES;01;CFC003;2024-10-13;00:00;0293684;ETOILE SAINT-LAURENT VB METROPOLE BREST;0224485;PLANCOET VOLLEY-BALL; 1/2;21-25,26-24,11-15;58-64;GYMNASE PEN AR C'HLEUZ;ELIES SYLVAIN;;
ACJEUNES;01;CFD001;2024-10-13;11:00;0228400;CESSON VOLLEY SAINT-BRIEUC COTES D'ARMOR;0223997;ASPTT LANNION; 2/0;25-11,25-22;50-33;GYMNASE DE BEAUFEUILLAGE;HALLOT NOEMIE;LATRY INIS;
