Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;02;CGH006;2021-11-14;00:00;0686392;VOLLEY MULHOUSE ALSACE;0883902;CAM D'EPINAL; 2/0;25-11,25-14;50-25;GYMNASE MONTAIGNE;PAGLIERI JOEL;APTER MARC;
ACJEUNES;02;CGI004;2021-11-14;11:00;0671560;VOLLEY-BALL CLUB HAGUENAU;0686394;VBC KINGERSHEIM; 0/2;9-25,10-25;19-50;GYMNASE KLEBER;COSSON FREDERIC;VIERLING CLARA;
ACJEUNES;02;CGI005;2021-11-14;00:00;0686394;VBC KINGERSHEIM;0543620;VANDOEUVRE-NANCY VOLLEY-BALL; 0/2;12-25,10-25;22-50;GYMNASE KLEBER;VIERLING CLARA;COSSON FREDERIC;
ACJEUNES;02;CGI006;2021-11-14;00:00;0671560;VOLLEY-BALL CLUB HAGUENAU;0543620;VANDOEUVRE-NANCY VOLLEY-BALL; 0/2;4-25,10-25;14-50;GYMNASE KLEBER;COSSON FREDERIC;VIERLING CLARA;
ACJEUNES;02;CGJ004;2021-11-14;11:00;0906468;ASM BELFORT VOLLEY-BALL;0015372;L'ENVOLLEY 01; 2/0;25-10,25-13;50-23;GYMNASE THURNHERR;VALLAT LUDIVINE;;
ACJEUNES;02;CGJ005;2021-11-14;00:00;0015372;L'ENVOLLEY 01;0898444;SENS VOLLEY 89; 0/2;9-25,9-25;18-50;GYMNASE THURNHERR;VALLAT LUDIVINE;;
ACJEUNES;02;CGJ006;2021-11-14;00:00;0906468;ASM BELFORT VOLLEY-BALL;0898444;SENS VOLLEY 89; 0/2;17-25,16-25;33-50;GYMNASE THURNHERR;VALLAT LUDIVINE;;
ACJEUNES;03;CFA007;2021-12-12;11:00;0385990;US ST EGREVOISE;0388899;UN.SP.VALLEE DE LA GRESSE; 0/2;13-25,13-25;26-50;PREDIEU;KUBLER PIERRE-MAEL;GARCIA GERARD;
ACJEUNES;03;CFA008;2021-12-12;00:00;0388899;UN.SP.VALLEE DE LA GRESSE;0637595;UNION SPORTIVE ISSOIRIENNE VOLLEY-BALL; 1/2;24-26,25-11,13-15;62-52;PREDIEU;GARCIA GERARD;KUBLER PIERRE-MAEL;
ACJEUNES;03;CFA009;2021-12-12;00:00;0385990;US ST EGREVOISE;0637595;UNION SPORTIVE ISSOIRIENNE VOLLEY-BALL; 0/2;14-25,20-25;34-50;PREDIEU;KUBLER PIERRE-MAEL;GARCIA GERARD;
ACJEUNES;03;CFB007;2021-12-12;11:00;0714053;VOLLEY CLUB MACONNAIS;0387013;UNION AS. SEYSSINOISE V.B.; 0/2;17-25,21-25;38-50;PALAIS DES SPORTS;JOVIGNOT ROMUALD;PICAUT EMMANUEL;
ACJEUNES;03;CFB008;2021-12-12;00:00;0387013;UNION AS. SEYSSINOISE V.B.;0686392;VOLLEY MULHOUSE ALSACE; 1/2;25-27,25-19,14-16;64-62;PALAIS DES SPORTS;PICAUT EMMANUEL;JOVIGNOT ROMUALD;
ACJEUNES;03;CFB009;2021-12-12;00:00;0714053;VOLLEY CLUB MACONNAIS;0686392;VOLLEY MULHOUSE ALSACE; 0/2;11-25,15-25;26-50;PALAIS DES SPORTS;JOVIGNOT ROMUALD;PICAUT EMMANUEL;
ACJEUNES;03;CFC007;2021-12-12;11:00;0687706;VOLLEY-BALL CLUB D'ENSISHEIM;0906468;ASM BELFORT VOLLEY-BALL; 0/2;22-25,21-25;43-50;DUOP�LE;HOFFNER LUCAS;APTER MARC;
ACJEUNES;03;CFC008;2021-12-12;00:00;0906468;ASM BELFORT VOLLEY-BALL;0548751;VOLLEY BEACH-BALL PONT/MOUSSON; 0/2;13-25,14-25;27-50;DUOP�LE;APTER MARC;HOFFNER LUCAS;
ACJEUNES;03;CFC009;2021-12-12;00:00;0687706;VOLLEY-BALL CLUB D'ENSISHEIM;0548751;VOLLEY BEACH-BALL PONT/MOUSSON; 1/2;17-25,25-17,7-15;49-57;DUOP�LE;HOFFNER LUCAS;APTER MARC;
ACJEUNES;03;CFD007;2021-12-12;11:00;0543620;VANDOEUVRE-NANCY VOLLEY-BALL;0575650;MAIZIERES ATHLETIC CLUB VOLLEY-BALL; 2/0;25-7,25-7;50-14;MONPLAISIR;LEPAGE BENOIT;ADNOT CHRISTOPHER;
ACJEUNES;03;CFD008;2021-12-12;00:00;0575650;MAIZIERES ATHLETIC CLUB VOLLEY-BALL;0675289;A.S. VALLEE DE LA SAUER; 0/2;22-25,17-25;39-50;MONPLAISIR;LEPAGE BENOIT;ADNOT CHRISTOPHER;
