Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;07;CMA019;2023-04-02;11:00;0351417;RENNES ETUDIANTS CLUB;0921672;SAINT-CLOUD PARIS SF; 0/2;14-25,22-25;36-50;COURTEMANCHE;SCHAUB MARIE-CATHERINE;MELOT NATHAN;;
ACJEUNES;07;CMA020;2023-04-02;00:00;0921672;SAINT-CLOUD PARIS SF;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL; 2/1;25-20,24-26,15-11;64-57;COURTEMANCHE;SCHAUB MARIE-CATHERINE;MELOT NATHAN;;
ACJEUNES;07;CMA021;2023-04-02;00:00;0351417;RENNES ETUDIANTS CLUB;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL; 0/2;24-26,20-25;44-51;COURTEMANCHE;SCHAUB MARIE-CATHERINE;MELOT NATHAN;;
ACJEUNES;07;CMB019;2023-04-02;11:00;0442477;AILES SP BOUGUENAIS REZE;0868442;VOUILLE VOLLEY BALL; 2/1;32-34,25-17,15-11;72-62;GYMNASE LIBERGE;SIMON ERIC;DECHOUX CHRISTIAN;;
ACJEUNES;07;CMB020;2023-04-02;00:00;0868442;VOUILLE VOLLEY BALL;0640001;LESCAR PROMOTION VOLLEY-BALL; 0/2;21-25,15-25;36-50;GYMNASE LIBERGE;DECHOUX CHRISTIAN;SIMON ERIC;;
ACJEUNES;07;CMB021;2023-04-02;00:00;0442477;AILES SP BOUGUENAIS REZE;0640001;LESCAR PROMOTION VOLLEY-BALL; 2/1;19-25,25-23,15-13;59-61;GYMNASE LIBERGE;SIMON ERIC;DECHOUX CHRISTIAN;;
ACJEUNES;07;CMC019;2023-04-02;11:00;0757777;PUC VOLLEY-BALL;0788680;AS. SP DE SARTROUVILLE; 2/0;25-14,25-23;50-37;CHARPY;DE CASTRO MIGUEL;CARLOTTI PIERRE;;
ACJEUNES;07;CMC020;2023-04-02;00:00;0788680;AS. SP DE SARTROUVILLE;0839557;FREJUS VAR VOLLEY; 1/2;25-23,17-25,6-15;48-63;CHARPY;DE CASTRO MIGUEL;CARLOTTI PIERRE;;
ACJEUNES;07;CMC021;2023-04-02;00:00;0757777;PUC VOLLEY-BALL;0839557;FREJUS VAR VOLLEY; 2/0;25-15,25-22;50-37;CHARPY;CARLOTTI PIERRE;DE CASTRO MIGUEL;;
ACJEUNES;07;CMD019;2023-04-02;11:00;0927953;ASNIERES VOLLEY 92;0929372;PLESSIS-ROBINSON VOLLEY-BALL; 1/2;25-22,15-25,18-20;58-67;GYMNASE DES COURTILLES;DJEDDI SAAD;PITOUX LAURENT;;
