Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;BFA001;2023-10-15;11:00;0849374;ENTENTE RHONE OUVEZE V.B.;0842425;U.S. PONTET VOLLEY AVENIR; 2/0;25-5,25-12;50-17;GYMNASE ST EXUPERY;IVARS QUENTYN;;
ACJEUNES;01;BFA002;2023-10-15;00:00;0842425;U.S. PONTET VOLLEY AVENIR;0136761;ISTRES PROVENCE VOLLEY; 0/2;10-25,17-25;27-50;GYMNASE ST EXUPERY;IVARS QUENTYN;;
ACJEUNES;01;BFA003;2023-10-15;00:00;0849374;ENTENTE RHONE OUVEZE V.B.;0136761;ISTRES PROVENCE VOLLEY; 0/2;13-25,18-25;31-50;GYMNASE ST EXUPERY;IVARS QUENTYN;;
ACJEUNES;01;BFB001;2023-10-15;11:00;0842424;AVIGNON VOLLEY BALL;0848651;VOLLEY BEAUCAIRE TARASCON (LE) GRES; 0/2;12-25,13-25;25-50;ROUMANILLE;BOUKOULLA SOFIANE;;
ACJEUNES;01;BFB002;2023-10-15;00:00;0848651;VOLLEY BEAUCAIRE TARASCON (LE) GRES;0136082;VITROLLES SPORTS VOLLEY-BALL; 2/0;25-22,25-18;50-40;ROUMANILLE;BOUKOULLA SOFIANE;;
ACJEUNES;01;BFB003;2023-10-15;00:00;0842424;AVIGNON VOLLEY BALL;0136082;VITROLLES SPORTS VOLLEY-BALL; 0/2;16-25,12-25;28-50;ROUMANILLE;BOUKOULLA SOFIANE;;
ACJEUNES;01;BFC001;2023-10-15;11:00;0833350;VOLLEY PRADETAN GARDEEN;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE; 0/2;13-25,12-25;25-50;JACQUES TROIN;PAGET ALENA;;
ACJEUNES;01;BFC002;2023-10-15;00:00;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE;0836446;SAINTE-MAXIME COGOLIN VOLLEY; 0/2;20-25,14-25;34-50;JACQUES TROIN;PAGET ALENA;;
ACJEUNES;01;BFC003;2023-10-15;00:00;0833350;VOLLEY PRADETAN GARDEEN;0836446;SAINTE-MAXIME COGOLIN VOLLEY; 0/2;13-25,11-25;24-50;JACQUES TROIN;PAGET ALENA;;
ACJEUNES;01;BFD001;2023-10-15;15:00;0064168;VOLLEY-BALL STADE LAURENTIN;0067686;VOLERO LE CANNET COTE D'AZUR; 0/2;2-25,4-25;6-50;JOSEPH PAGNOL;RUBIN THOMAS;;
ACJEUNES;01;BFD002;2023-10-15;00:00;0067686;VOLERO LE CANNET COTE D'AZUR;0060048;MOUGINS COTE D'AZUR VOLLEY-BALL;;;;JOSEPH PAGNOL;;;
ACJEUNES;01;BFD003;2023-10-15;00:00;0064168;VOLLEY-BALL STADE LAURENTIN;0060048;MOUGINS COTE D'AZUR VOLLEY-BALL;;;;JOSEPH PAGNOL;;;
ACJEUNES;01;BFE001;2023-10-15;11:00;0067689;US CAGNES VOLLEY-BALL;0060008;MANDELIEU LA NAPOULE V.B.; 0/2;25-27,23-25;48-52;JULES VERNE;LEBONNOIS NOAM;;
ACJEUNES;01;BFE002;2023-10-15;00:00;0060008;MANDELIEU LA NAPOULE V.B.;0062701;ASS SPORTIVE DE MONACO; 2/0;25-16,25-23;50-39;JULES VERNE;LEBONNOIS NOAM;;
ACJEUNES;01;BFE003;2023-10-15;00:00;0067689;US CAGNES VOLLEY-BALL;0062701;ASS SPORTIVE DE MONACO; 2/0;25-5,25-15;50-20;JULES VERNE;LEBONNOIS NOAM;;
ACJEUNES;01;BFF001;2023-10-15;10:00;0839557;FREJUS VAR VOLLEY;0060036;PAYS DE GRASSE VOLLEY-BALL; 0/2;14-25,9-25;23-50;HALLE DES PORTS SAINT CROIX;RICOME LILOU;;
ACJEUNES;01;BFF002;2023-10-15;00:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0837251;VOLLEY BALL OLLIOULAIS; 2/0;25-11,25-11;50-22;HALLE DES PORTS SAINT CROIX;RICOME LILOU;;
ACJEUNES;01;BFF003;2023-10-15;00:00;0839557;FREJUS VAR VOLLEY;0837251;VOLLEY BALL OLLIOULAIS; 2/0;25-23,25-10;50-33;HALLE DES PORTS SAINT CROIX;RICOME LILOU;;
ACJEUNES;01;BFG001;2023-10-15;11:00;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL;0138350;COUDOUX VELAUX LA FARE VOLLEY-BALL; 1/2;17-25,25-22,11-15;53-62;HALLE CARCASSONNE;DUSSERRE ROMAIN;;
ACJEUNES;01;BFG002;2023-10-15;00:00;0138350;COUDOUX VELAUX LA FARE VOLLEY-BALL;0132346;MARIGNANE VOLLEY-BALL; 1/2;24-26,25-19,10-15;59-60;HALLE CARCASSONNE;DUSSERRE ROMAIN;;
ACJEUNES;01;BFG003;2023-10-15;00:00;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL;0132346;MARIGNANE VOLLEY-BALL; 2/1;24-26,25-19,15-13;64-58;HALLE CARCASSONNE;DUSSERRE ROMAIN;;
ACJEUNES;01;BFH001;2023-10-15;11:00;0134290;MARTIGUES VOLLEY-BALL;0138032;PAYS D'AIX VENELLES V.B.; 0/2;18-25,21-25;39-50;JULIEN OLIVE;ANTON ADRIEN;;
ACJEUNES;01;BFH002;2023-10-15;00:00;0138032;PAYS D'AIX VENELLES V.B.;0139175;AUBAGNE CARNOUX VOLLEY-BALL; 2/0;25-3,25-2;50-5;JULIEN OLIVE;ANTON ADRIEN;;
ACJEUNES;01;BFH003;2023-10-15;00:00;0134290;MARTIGUES VOLLEY-BALL;0139175;AUBAGNE CARNOUX VOLLEY-BALL; 2/0;25-9,25-8;50-17;JULIEN OLIVE;ANTON ADRIEN;;
ACJEUNES;01;BFI001;2023-10-15;11:00;0079102;F.R.J.E.P. CHARNAS;0690044;MONTANAY VOLLEY-BALL; 2/0;25-8,25-11;50-19;GYMNASE MUNICIPAL;JEANNON DANIEL;;
ACJEUNES;01;BFI002;2023-10-15;00:00;0690044;MONTANAY VOLLEY-BALL;0077976;US ALBENASSIENNE V.B.; 0/2;10-25,1-25;11-50;GYMNASE MUNICIPAL;JEANNON DANIEL;;
ACJEUNES;01;BFI003;2023-10-15;00:00;0079102;F.R.J.E.P. CHARNAS;0077976;US ALBENASSIENNE V.B.; 0/2;13-25,19-25;32-50;GYMNASE MUNICIPAL;JEANNON DANIEL;;
