Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;05;MMI013;2023-02-19;10:00;0596135;VOLLEY CLUB DE CAMBRAI;0788680;AS. SP DE SARTROUVILLE; 0/2;7-25,20-25;27-50;GYMNASE PASTEUR;MARCINIEC BRUNO;RICHART OLIVIER;;
ACJEUNES;05;MMI014;2023-02-19;00:00;0788680;AS. SP DE SARTROUVILLE;0883725;SAINT DIE DES VOSGES VOLLEY BALL; 2/0;25-12,25-8;50-20;GYMNASE PASTEUR;RICHART OLIVIER;MARCINIEC BRUNO;;
ACJEUNES;05;MMI015;2023-02-19;00:00;0596135;VOLLEY CLUB DE CAMBRAI;0883725;SAINT DIE DES VOSGES VOLLEY BALL; 2/1;25-15,20-25,18-16;63-56;GYMNASE PASTEUR;MARCINIEC BRUNO;RICHART OLIVIER;;
ACJEUNES;05;MMJ013;2023-02-19;10:00;0784696;AS VOLLEY-BALL VELIZY;0946784;VINCENNES VOLLEY CLUB; 1/2;25-17,17-25,14-16;56-58;JEAN MACE;DUMONT ELSA;WAGUET ROMANE;;
ACJEUNES;05;MMJ014;2023-02-19;00:00;0946784;VINCENNES VOLLEY CLUB;0761503;MAROMME CANTELEU VOLLEY 76; 2/0;25-22,25-17;50-39;JEAN MACE;WAGUET ROMANE;DUMONT ELSA;;
ACJEUNES;05;MMJ015;2023-02-19;00:00;0784696;AS VOLLEY-BALL VELIZY;0761503;MAROMME CANTELEU VOLLEY 76; 0/2;21-25,24-26;45-51;JEAN MACE;DUMONT ELSA;WAGUET ROMANE;;
ACJEUNES;05;MMK013;2023-02-19;11:00;0921672;SAINT-CLOUD PARIS SF;0912762;VOLLEY-BALL DE MILLY LA FORET; 0/2;23-25,18-25;41-50;GYMNASE VERHAEREN;PITOUX LAURENT;GREUILLET LAURENCE;;
ACJEUNES;05;MMK014;2023-02-19;00:00;0912762;VOLLEY-BALL DE MILLY LA FORET;0885362;STADE ATHLETIQUE SPINALIEN; 2/0;25-15,25-18;50-33;GYMNASE VERHAEREN;GREUILLET LAURENCE;PITOUX LAURENT;;
ACJEUNES;05;MMK015;2023-02-19;00:00;0921672;SAINT-CLOUD PARIS SF;0885362;STADE ATHLETIQUE SPINALIEN; 2/0;25-16,25-13;50-29;GYMNASE VERHAEREN;PITOUX LAURENT;DOMMARTIN PAULINE;;
ACJEUNES;05;MML013;2023-02-19;12:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0334980;UNION SPORTIVE TALENCAISE; 1/2;16-25,25-20,9-15;50-60;JEAN JAHAN 2;CLOUET MICHEL;DOUNONT ALAIN;;
ACJEUNES;05;MML014;2023-02-19;00:00;0334980;UNION SPORTIVE TALENCAISE;0757777;PUC VOLLEY-BALL; 0/2;21-25,15-25;36-50;JEAN JAHAN 2;DOUNONT ALAIN;CLOUET MICHEL;;
ACJEUNES;05;MML015;2023-02-19;00:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0757777;PUC VOLLEY-BALL; 1/2;16-25,26-24,13-15;55-64;JEAN JAHAN 2;DOUNONT ALAIN;CLOUET MICHEL;;
ACJEUNES;05;MMM013;2023-02-19;11:00;0374861;TOURS VOLLEY-BALL;0353652;C.P.B. RENNES 35; 2/0;25-7,25-8;50-15;SALLE DANTON;PERCEVIC DRAGAN;BRACQ PAUL;;
ACJEUNES;05;MMM014;2023-02-19;00:00;0353652;C.P.B. RENNES 35;0927953;ASNIERES VOLLEY 92; 0/2;23-25,12-25;35-50;SALLE DANTON;PERCEVIC DRAGAN;BERGES TYLIO;;
ACJEUNES;05;MMM015;2023-02-19;00:00;0374861;TOURS VOLLEY-BALL;0927953;ASNIERES VOLLEY 92; 2/0;25-23,25-17;50-40;SALLE DANTON;BERGES TYLIO;PERCEVIC DRAGAN;;
ACJEUNES;05;MMN013;2023-02-19;11:00;0491492;SPORTING CLUB DE L OUEST;0351417;RENNES ETUDIANTS CLUB; 1/2;22-25,25-12,12-15;59-52;SALLE JEAN ROUSSEAU;COUVREUR EMMANUEL;DELCHOQUE THIERRY;;
ACJEUNES;05;MMN014;2023-02-19;00:00;0351417;RENNES ETUDIANTS CLUB;0862447;STADE POITEVIN VOLLEY BEACH; 2/0;25-18,25-14;50-32;SALLE JEAN ROUSSEAU;DELCHOQUE THIERRY;ZAITOUNI ABDELHAMID;;
ACJEUNES;05;MMN015;2023-02-19;00:00;0491492;SPORTING CLUB DE L OUEST;0862447;STADE POITEVIN VOLLEY BEACH; 2/1;25-15,24-26,15-6;64-47;SALLE JEAN ROUSSEAU;ZAITOUNI ABDELHAMID;DELCHOQUE THIERRY;;
ACJEUNES;05;MMO013;2023-02-19;11:00;0449605;ST NAZAIRE VB ATLANTIQUE;0534442;ASPTT LAVAL; 1/2;25-23,23-25,4-15;52-63;COUBERTIN;BOUIN AMANDINE;MOKAHLI ESSABAG ABDELHAMID;;
ACJEUNES;05;MMO014;2023-02-19;00:00;0534442;ASPTT LAVAL;0912770;ASV - ARTS ET SPORTS A VILLEBON; 0/2;26-28,18-25;44-53;COUBERTIN;MOKAHLI ESSABAG ABDELHAMID;BOUIN AMANDINE;;
ACJEUNES;05;MMO015;2023-02-19;00:00;0449605;ST NAZAIRE VB ATLANTIQUE;0912770;ASV - ARTS ET SPORTS A VILLEBON; 2/0;25-18,25-19;50-37;COUBERTIN;BOUIN AMANDINE;MOKAHLI ESSABAG ABDELHAMID;;
