Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;13;2FD061;2024-03-03;14:00;0429687;CLUB ATHLETIQUE DE ST ETIENNE;0686625;AS SP ENTREMONT RIXHEIM; 3/2;16-25,26-24,22-25,25-20,15-8;104-102;GYMNASE VILLEBOEUF;SAADOUNE ABDELHAK;COLLADOS FABRICE;
ABCCS;13;2FD062;2024-03-03;14:00;0543620;VANDOEUVRE-NANCY VOLLEY-BALL 2 CFC;0426516;ENTENTE ST-CHAMOND VOLLEY; 2/3;28-26,23-25,25-22,21-25,12-15;109-113;NATIONS;BOUREZ MICHAEL;KLEINHENTZ PIERRE;
ABCCS;13;2FD063;2024-03-02;20:00;0255795;BESANCON VOLLEY-BALL;0906468;ASM BELFORT VOLLEY-BALL; 0/3;21-25,19-25,24-26;64-76;MALCOMBE;FROMENTIN DIDIER;SAINT VOIRIN VINCENT;
ABCCS;13;2FD064;2024-03-03;14:00;0579612;TERVILLE FLORANGE OLYMPIQUE 2 CFC;0674157;STRASBOURG UNIVERSITE CLUB; 3/1;25-22,25-12,14-25,25-20;89-79;GYMNASE MUNICIPAL;LAMANDE ROBERT;LEPAGE BENOIT;
ABCCS;13;2FD065;2024-03-03;14:00;0387013;UNION AS. SEYSSINOISE V.B.;0687706;VOLLEY-BALL CLUB D'ENSISHEIM; 3/0;25-18,25-19,25-12;75-49;YVES BROUZET;MOUZAIA ABDELMADJID;TROJAT GIL;
ABCCS;14;2FD066;2024-03-17;15:00;0687706;VOLLEY-BALL CLUB D'ENSISHEIM;0429687;CLUB ATHLETIQUE DE ST ETIENNE; 1/3;24-26,20-25,25-23,13-25;82-99;DUOP�LE;PICAUT EMMANUEL;PATE DAVID;
ABCCS;14;2FD067;2024-03-17;14:00;0674157;STRASBOURG UNIVERSITE CLUB;0387013;UNION AS. SEYSSINOISE V.B.; 3/0;25-19,25-22,25-19;75-60;CENTRE SPORTIF OUEST;BANOS SERGE;KRIEGEL HERVE;
ABCCS;14;2FD068;2024-03-17;15:00;0906468;ASM BELFORT VOLLEY-BALL;0579612;TERVILLE FLORANGE OLYMPIQUE 2 CFC; 2/3;25-19,29-31,19-25,25-17,10-15;108-107;GYMNASE THURNHERR;MONNOT CYRILLE;JOVIGNOT ROMUALD;
ABCCS;14;2FD069;2024-03-16;20:00;0426516;ENTENTE ST-CHAMOND VOLLEY;0255795;BESANCON VOLLEY-BALL; 3/0;25-18,25-14,25-23;75-55;CLAUDE LEBOIS;HANOTEL PHILIPPE;MATHONNET THIBAUT;
ABCCS;14;2FD070;2024-03-17;15:00;0686625;AS SP ENTREMONT RIXHEIM;0543620;VANDOEUVRE-NANCY VOLLEY-BALL 2 CFC; 0/3;23-25,18-25,23-25;64-75;COSEC;GASIUNAS FAUSTAS;MALERBA GIUSEPPE;
ABCCS;15;2FD071;2024-03-24;14:00;0429687;CLUB ATHLETIQUE DE ST ETIENNE;0543620;VANDOEUVRE-NANCY VOLLEY-BALL 2 CFC; 3/1;15-25,25-17,25-21,25-7;90-70;GYMNASE VILLEBOEUF;HUMBERT RIDET DYLAN;DARET JEAN-PIERRE;
ABCCS;15;2FD072;2024-03-23;20:00;0255795;BESANCON VOLLEY-BALL;0686625;AS SP ENTREMONT RIXHEIM; 1/3;22-25,25-20,15-25,22-25;84-95;MALCOMBE;MATHONNET THIBAUT;LEGER OLIVIER;
ABCCS;15;2FD073;2024-03-24;14:00;0579612;TERVILLE FLORANGE OLYMPIQUE 2 CFC;0426516;ENTENTE ST-CHAMOND VOLLEY; 2/3;22-25,23-25,25-21,25-18,9-15;104-104;GYMNASE MUNICIPAL;VANDENBEMDEN FR�D�RICK;STANCZYKIEWICZ LIONEL;
ABCCS;15;2FD074;2024-03-24;16:00;0387013;UNION AS. SEYSSINOISE V.B.;0906468;ASM BELFORT VOLLEY-BALL; 1/3;15-25,25-19,17-25,15-25;72-94;YVES BROUZET;BELDICO THOMAS;PEROTTI MARC;
ABCCS;15;2FD075;2024-03-24;15:00;0687706;VOLLEY-BALL CLUB D'ENSISHEIM;0674157;STRASBOURG UNIVERSITE CLUB; 1/3;26-24,20-25,19-25,18-25;83-99;DUOP�LE;PATE DAVID;HOFFNER LUCAS;
ABCCS;16;2FD076;2024-04-14;14:00;0674157;STRASBOURG UNIVERSITE CLUB;0429687;CLUB ATHLETIQUE DE ST ETIENNE;;;;GYMNASE AGR;MENS MATHIEU;GASIUNAS FAUSTAS;
ABCCS;16;2FD077;2024-04-13;20:00;0906468;ASM BELFORT VOLLEY-BALL;0687706;VOLLEY-BALL CLUB D'ENSISHEIM;;;;GYMNASE THURNHERR;SAVOY JEAN-CLAUDE;DARMIGNY JORDAN;
ABCCS;16;2FD078;2024-04-14;15:00;0426516;ENTENTE ST-CHAMOND VOLLEY;0387013;UNION AS. SEYSSINOISE V.B.;;;;CLAUDE LEBOIS;DREVOT ARTHUR;BALANCHE MATHIEU;
ABCCS;16;2FD079;2024-04-14;13:00;0686625;AS SP ENTREMONT RIXHEIM;0579612;TERVILLE FLORANGE OLYMPIQUE 2 CFC;;;;CITE DES SPORTS;MANSUY DONATIEN;MAMET LAURENT;
ABCCS;16;2FD080;2024-04-14;14:00;0543620;VANDOEUVRE-NANCY VOLLEY-BALL 2 CFC;0255795;BESANCON VOLLEY-BALL;;;;NATIONS;HABOUL ATIF;QUANTIN GAELLE;
ABCCS;17;2FD081;2024-04-27;20:00;0429687;CLUB ATHLETIQUE DE ST ETIENNE;0255795;BESANCON VOLLEY-BALL;;;;GYMNASE VILLEBOEUF;SAADOUNE ABDELHAK;PEROTTI MARC;
ABCCS;17;2FD082;2024-04-28;14:00;0579612;TERVILLE FLORANGE OLYMPIQUE 2 CFC;0543620;VANDOEUVRE-NANCY VOLLEY-BALL 2 CFC;;;;CENTRE SPORTIF LE 111;GASIUNAS FAUSTAS;APTER MARC;
ABCCS;17;2FD083;2024-04-28;14:00;0686625;AS SP ENTREMONT RIXHEIM;0387013;UNION AS. SEYSSINOISE V.B.;;;;COSEC;JACQUEMET ERIC;NOLLET CHLOE;
ABCCS;17;2FD084;2024-04-27;20:00;0687706;VOLLEY-BALL CLUB D'ENSISHEIM;0426516;ENTENTE ST-CHAMOND VOLLEY;;;;DUOP�LE;LEGER OLIVIER;MAMET LAURENT;
ABCCS;17;2FD085;2024-04-27;21:00;0674157;STRASBOURG UNIVERSITE CLUB;0906468;ASM BELFORT VOLLEY-BALL;;;;CSDH;KRIEGEL HERVE;MANSUY DONATIEN;
ABCCS;18;2FD086;2024-05-05;15:00;0906468;ASM BELFORT VOLLEY-BALL;0429687;CLUB ATHLETIQUE DE ST ETIENNE;;;;GYMNASE THURNHERR;GASIUNAS FAUSTAS;NOLLET CHLOE;
ABCCS;18;2FD087;2024-05-05;15:00;0426516;ENTENTE ST-CHAMOND VOLLEY;0674157;STRASBOURG UNIVERSITE CLUB;;;;CLAUDE LEBOIS;BELDICO THOMAS;COLLADOS FABRICE;
ABCCS;18;2FD088;2024-05-04;20:00;0686625;AS SP ENTREMONT RIXHEIM;0687706;VOLLEY-BALL CLUB D'ENSISHEIM;;;;CITE DES SPORTS;LAMANDE ROBERT;NOLLET CHLOE;
ABCCS;18;2FD089;2024-05-05;14:00;0543620;VANDOEUVRE-NANCY VOLLEY-BALL 2 CFC;0387013;UNION AS. SEYSSINOISE V.B.;;;;NATIONS;PICAUT EMMANUEL;ADNOT CHRISTOPHER;
ABCCS;18;2FD090;2024-05-05;15:00;0255795;BESANCON VOLLEY-BALL;0579612;TERVILLE FLORANGE OLYMPIQUE 2 CFC;;;;MALCOMBE;HERRERA JEAN-MARC;SCHMIDT KILLIAN;
