Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;02;MMA004;2021-11-07;11:00;0060007;AS CANNES VOLLEY-BALL;0062509;OLYMPIQUES ANTIBES JUAN PINS; 2/0;25-8,25-15;50-23;LES COTEAUX;CHAMOT DAMIEN;KOWAL ANITA;;
ACJEUNES;02;MMA005;2021-11-07;00:00;0062509;OLYMPIQUES ANTIBES JUAN PINS;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL; 2/0;25-13,25-19;50-32;LES COTEAUX;CHAMOT DAMIEN;KOWAL ANITA;;
ACJEUNES;02;MMA006;2021-11-07;00:00;0060007;AS CANNES VOLLEY-BALL;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL; 2/0;25-11,25-6;50-17;LES COTEAUX;KOWAL ANITA;CHAMOT DAMIEN;;
ACJEUNES;02;MMB004;2021-11-07;10:00;0833351;VIDAUBAN VOLLEY-BALL;0066927;NICE VOLLEY-BALL; 2/0;25-17,25-18;50-35;GYMNASE DU COLLEGE PE VICTOR;DAUSSIN ROMAIN;POULET STEPHANE;;
ACJEUNES;02;MMB005;2021-11-07;00:00;0066927;NICE VOLLEY-BALL;0132346;MARIGNANE VOLLEY-BALL; 0/2;20-25,23-25;43-50;GYMNASE DU COLLEGE PE VICTOR;DAUSSIN ROMAIN;POULET STEPHANE;;
ACJEUNES;02;MMB006;2021-11-07;00:00;0833351;VIDAUBAN VOLLEY-BALL;0132346;MARIGNANE VOLLEY-BALL; 2/0;25-11,27-25;52-36;GYMNASE DU COLLEGE PE VICTOR;POULET STEPHANE;DAUSSIN ROMAIN;;
ACJEUNES;02;MMC004;2021-11-07;10:00;0132351;SALON VOLLEY;0839557;FREJUS VAR VOLLEY; 0/2;9-25,8-25;17-50;LURIAN;GILLY LUCAS;M'BARKI BILAL;;
ACJEUNES;02;MMC005;2021-11-07;00:00;0839557;FREJUS VAR VOLLEY;0060036;PAYS DE GRASSE VOLLEY-BALL; 0/2;21-25,16-25;37-50;LURIAN;M'BARKI BILAL;GILLY LUCAS;;
ACJEUNES;02;MMC006;2021-11-07;00:00;0132351;SALON VOLLEY;0060036;PAYS DE GRASSE VOLLEY-BALL; 0/2;8-25,18-25;26-50;LURIAN;GILLY LUCAS;M'BARKI BILAL;;
ACJEUNES;02;MMD004;2021-11-07;11:00;0833350;VOLLEY PRADETAN GARDEEN;0132348;MARSEILLE VOLLEY 13; 0/2;6-25,11-25;17-50;JACQUES TROIN;LEQUINT MAXIME;BAUDRY ERIC;;
