Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;07;BMA019;2022-04-03;11:00;0345002;ASBAM MONTPELLIER;0060036;PAYS DE GRASSE VOLLEY-BALL; 2/1;21-25,25-9,15-7;61-41;LES  ARTS;SASTRE JESSICA;;;
ACJEUNES;07;BMA020;2022-04-03;00:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0622126;HARNES VOLLEY-BALL; 2/1;19-25,27-25,15-12;61-62;LES  ARTS;SASTRE JESSICA;;;
ACJEUNES;07;BMA021;2022-04-03;00:00;0345002;ASBAM MONTPELLIER;0622126;HARNES VOLLEY-BALL; 2/0;25-13,25-17;50-30;LES  ARTS;SASTRE JESSICA;;;
ACJEUNES;07;BMB019;2022-04-03;11:00;0307732;NIMES VOLLEY-BALL;0912770;ASV - ARTS ET SPORTS A VILLEBON; 2/0;25-20,25-16;50-36;GASTON LESSUT;GRAS JEAN-MARIE;;;
ACJEUNES;07;BMB020;2022-04-03;00:00;0912770;ASV - ARTS ET SPORTS A VILLEBON;0628128;LOISIRS INTER SPORT ST PIERRE; 2/1;25-20,19-25,15-13;59-58;GASTON LESSUT;GRAS JEAN-MARIE;;;
ACJEUNES;07;BMB021;2022-04-03;00:00;0307732;NIMES VOLLEY-BALL;0628128;LOISIRS INTER SPORT ST PIERRE; 2/0;25-19,25-22;50-41;GASTON LESSUT;GRAS JEAN-MARIE;;;
ACJEUNES;07;BMC019;2022-04-03;11:00;0836296;DRAGUIGNAN UNION CLUB VAR VB;0784696;AS VOLLEY-BALL VELIZY; 2/1;19-25,25-21,15-9;59-55;GYMNASE COLLÈGE ROSTAND;BELDICO THOMAS;;;
ACJEUNES;07;BMC020;2022-04-03;00:00;0784696;AS VOLLEY-BALL VELIZY;0946784;VINCENNES VOLLEY CLUB; 2/0;25-15,25-22;50-37;GYMNASE COLLÈGE ROSTAND;BELDICO THOMAS;;;
ACJEUNES;07;BMC021;2022-04-03;00:00;0836296;DRAGUIGNAN UNION CLUB VAR VB;0946784;VINCENNES VOLLEY CLUB; 2/0;25-13,25-16;50-29;GYMNASE COLLÈGE ROSTAND;BELDICO THOMAS;;;
ACJEUNES;07;BMD019;2022-04-03;10:30;0788680;AS. SP DE SARTROUVILLE;0353652;C.P.B. RENNES 35; 2/0;25-17,25-17;50-34;CARNOT;CHIKH BEKADA IDRISSE;;;
ACJEUNES;07;BMD020;2022-04-03;00:00;0353652;C.P.B. RENNES 35;0842425;U.S. PONTET VOLLEY AVENIR; 2/0;25-18,25-22;50-40;CARNOT;CHIKH BEKADA IDRISSE;;;
ACJEUNES;07;BMD021;2022-04-03;00:00;0788680;AS. SP DE SARTROUVILLE;0842425;U.S. PONTET VOLLEY AVENIR; 2/0;25-15,25-14;50-29;CARNOT;CHIKH BEKADA IDRISSE;;;
ACJEUNES;07;BME019;2022-04-03;11:00;0595712;VOLLEY CLUB SAINT POLOIS;0921672;SAINT-CLOUD PARIS SF; 2/1;25-22,19-25,15-10;59-57;SALLE DE LA FERME MARCHAND;DE PARMENTIER JEAN-CLAUDE;;;
ACJEUNES;07;BME020;2022-04-03;00:00;0921672;SAINT-CLOUD PARIS SF;0757777;PUC VOLLEY-BALL; 0/2;22-25,22-25;44-50;SALLE DE LA FERME MARCHAND;DE PARMENTIER JEAN-CLAUDE;;;
ACJEUNES;07;BME021;2022-04-03;00:00;0595712;VOLLEY CLUB SAINT POLOIS;0757777;PUC VOLLEY-BALL; 1/2;26-24,14-25,9-15;49-64;SALLE DE LA FERME MARCHAND;DE PARMENTIER JEAN-CLAUDE;;;
