Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;02;BMI005;2021-11-14;00:00;0803781;LONGUEAU AMIENS METROPOLE VOLLEY-BALL;0757777;PUC VOLLEY-BALL; 0/2;5-25,12-25;17-50;GYMNASE EUROPÉEN;PAGA GILLES;;;
ACJEUNES;02;BMI006;2021-11-14;00:00;0027343;VILLERS COTTERETS VOLLEY-BALL;0757777;PUC VOLLEY-BALL; 0/2;13-25,9-25;22-50;GYMNASE EUROPÉEN;PAGA GILLES;;;
ACJEUNES;02;BMJ004;2021-11-14;11:00;0921672;SAINT-CLOUD PARIS SF;0758425;PARIS VOLLEY CLUB; 2/0;25-6,25-14;50-20;LA FOUILLEUSE;HADET ERWAN;;;
ACJEUNES;02;BMJ005;2021-11-14;00:00;0758425;PARIS VOLLEY CLUB;0607729;BEAUVAIS OISE UC VOLLEY; 2/1;21-25,25-20,15-11;61-56;LA FOUILLEUSE;HADET ERWAN;;;
ACJEUNES;02;BMJ006;2021-11-14;00:00;0921672;SAINT-CLOUD PARIS SF;0607729;BEAUVAIS OISE UC VOLLEY; 2/0;25-13,25-15;50-28;LA FOUILLEUSE;HADET ERWAN;;;
ACJEUNES;02;BMK004;2021-11-14;11:00;0374861;TOURS VOLLEY-BALL;0724695;JEUNESSE SPORT COULAINES; 2/1;24-26,25-14,16-14;65-54;SALLE DANTON;THOMAS PATRICE;;;
ACJEUNES;02;BMK005;2021-11-14;00:00;0724695;JEUNESSE SPORT COULAINES;0564003;VANNES VOLLEY 56; 2/0;25-23,25-18;50-41;SALLE DANTON;THOMAS PATRICE;;;
ACJEUNES;02;BMK006;2021-11-14;00:00;0374861;TOURS VOLLEY-BALL;0564003;VANNES VOLLEY 56; 1/2;25-18,22-25,14-16;61-59;SALLE DANTON;THOMAS PATRICE;;;
ACJEUNES;02;BML004;2021-11-14;11:00;0442477;AILES SP BOUGUENAIS REZE;0353652;C.P.B. RENNES 35; 1/2;19-25,25-22,9-15;53-62;GYMNASE LIBERGE;TRUONG KIM;;;
ACJEUNES;02;BML005;2021-11-14;00:00;0353652;C.P.B. RENNES 35;0176607;SAINTES VOLLEY-BALL-SVB; 2/0;25-10,25-21;50-31;GYMNASE LIBERGE;TRUONG KIM;;;
ACJEUNES;02;BML006;2021-11-14;00:00;0442477;AILES SP BOUGUENAIS REZE;0176607;SAINTES VOLLEY-BALL-SVB; 2/0;26-24,25-17;51-41;GYMNASE LIBERGE;TRUONG KIM;;;
ACJEUNES;02;BMM004;2021-11-14;11:00;0862447;STADE POITEVIN VOLLEY BEACH;0868442;VOUILLE VOLLEY BALL; 2/1;24-26,25-9,15-4;64-39;LAWSON BODY;CHATAIGNEAU BERNARD;;;
ACJEUNES;02;BMM005;2021-11-14;00:00;0868442;VOUILLE VOLLEY BALL;0857865;MONTAIGU-VENDEE BOUFFERE VOLLEY-BALL; 2/0;28-26,25-23;53-49;LAWSON BODY;CHATAIGNEAU BERNARD;;;
ACJEUNES;02;BMM006;2021-11-14;00:00;0862447;STADE POITEVIN VOLLEY BEACH;0857865;MONTAIGU-VENDEE BOUFFERE VOLLEY-BALL; 2/0;25-16,25-21;50-37;LAWSON BODY;CHATAIGNEAU BERNARD;;;
ACJEUNES;02;BMN004;2021-11-14;11:00;0358885;ENT.SP.CULT. MOULINS;0449605;ST NAZAIRE VB ATLANTIQUE; 0/2;16-25,8-25;24-50;SALLE DES SPORTS;MALLET NADEGE;;;
ACJEUNES;02;BMN005;2021-11-14;00:00;0449605;ST NAZAIRE VB ATLANTIQUE;0149419;CAEN VOLLEY-BALL; 2/0;25-9,25-7;50-16;SALLE DES SPORTS;MALLET NADEGE;;;
ACJEUNES;02;BMN006;2021-11-14;00:00;0358885;ENT.SP.CULT. MOULINS;0149419;CAEN VOLLEY-BALL; 2/0;30-28,25-15;55-43;SALLE DES SPORTS;MALLET NADEGE;;;
