Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;03;MMA007;2023-12-10;11:00;0334980;UNION SPORTIVE TALENCAISE;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;;;;LÉO LAGRANGE;;;;
ACJEUNES;03;MMA008;2023-12-10;00:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0177925;LA ROCHELLE VOLLEY BALL;;;;LÉO LAGRANGE;;;;
ACJEUNES;03;MMA009;2023-12-10;00:00;0334980;UNION SPORTIVE TALENCAISE;0177925;LA ROCHELLE VOLLEY BALL;;;;LÉO LAGRANGE;;;;
ACJEUNES;03;MMB007;2023-12-10;11:00;0640001;LESCAR PROMOTION VOLLEY-BALL;0335197;SPORT ATHLETIQUE MERIGNACAIS;;;;PAUL FORT;;;;
ACJEUNES;03;MMB008;2023-12-10;00:00;0335197;SPORT ATHLETIQUE MERIGNACAIS;0812329;ENT. PUYGOUZON/CASTELNAU LEVIS;;;;PAUL FORT;;;;
ACJEUNES;03;MMB009;2023-12-10;00:00;0640001;LESCAR PROMOTION VOLLEY-BALL;0812329;ENT. PUYGOUZON/CASTELNAU LEVIS;;;;PAUL FORT;;;;
ACJEUNES;03;MMC007;2023-12-10;11:00;0114939;NARBONNE VOLLEY;0668467;PERPIGNAN ROUSSILLON V.B;;;;PALAIS DU TRAVAIL;;;;
ACJEUNES;03;MMC008;2023-12-10;00:00;0668467;PERPIGNAN ROUSSILLON V.B;0648903;JURANCON CHAPELLE ROUSSE V.B.;;;;PALAIS DU TRAVAIL;;;;
ACJEUNES;03;MMC009;2023-12-10;00:00;0114939;NARBONNE VOLLEY;0648903;JURANCON CHAPELLE ROUSSE V.B.;;;;PALAIS DU TRAVAIL;;;;
ACJEUNES;03;MMD007;2023-12-10;11:00;0343330;ARAGO DE SETE VOLLEY-BALL;0347228;ENTENTE CASTRIES VOLLEY BALL;;;;HALLE LOUIS MARTY;;;;
ACJEUNES;03;MMD008;2023-12-10;00:00;0347228;ENTENTE CASTRIES VOLLEY BALL;0315117;MURET VOLLEY-BALL;;;;HALLE LOUIS MARTY;;;;
ACJEUNES;03;MMD009;2023-12-10;00:00;0343330;ARAGO DE SETE VOLLEY-BALL;0315117;MURET VOLLEY-BALL;;;;HALLE LOUIS MARTY;;;;
ACJEUNES;03;MME007;2023-12-10;11:00;0344410;ASLJCROIX ARGENT MONTPELLIER;0345002;ASBAM MONTPELLIER;;;;GYMNASE ALAIN COLAS;;;;
ACJEUNES;03;MME008;2023-12-10;00:00;0345002;ASBAM MONTPELLIER;0307732;NIMES VOLLEY-BALL;;;;GYMNASE ALAIN COLAS;;;;
ACJEUNES;03;MME009;2023-12-10;00:00;0344410;ASLJCROIX ARGENT MONTPELLIER;0307732;NIMES VOLLEY-BALL;;;;GYMNASE ALAIN COLAS;;;;
