Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;04;CMQ012;2024-01-21;00:00;0950027;I.A.F.V.O.;0351428;E.SP. CANTON DE PIPRIAC V.B.; 0/2;14-25,19-25;33-50;CENTRE SPORTIF AMELIE MAURESMO;CARBONNEL FABIEN;IOUSSAIDENE ABDERRAHMANE;
ACJEUNES;04;CMR010;2024-01-21;13:00;0599848;DUNKERQUE GRAND LITTORAL V.B.;0028567;F.L. ST QUENTIN VOLLEY-BALL; 2/0;25-11,25-14;50-25;SALLE LYCEE JEAN BART;BERTIN JEAN;FIN DOMINIQUE;
ACJEUNES;04;CMR011;2024-01-21;00:00;0028567;F.L. ST QUENTIN VOLLEY-BALL;0928481;LEVALLOIS SPORTING CLUB; 0/2;19-25,21-25;40-50;SALLE LYCEE JEAN BART;BERTIN JEAN;FIN DOMINIQUE;
ACJEUNES;04;CMR012;2024-01-21;00:00;0599848;DUNKERQUE GRAND LITTORAL V.B.;0928481;LEVALLOIS SPORTING CLUB; 2/0;25-21,25-12;50-33;SALLE LYCEE JEAN BART;FIN DOMINIQUE;BERTIN JEAN;
ACJEUNES;04;CMS010;2024-01-21;11:00;0594680;TOURCOING VOLLEY-BALL L.M.;0761509;LE HAVRE ESTUAIRE VOLLEY-BALL; 1/2;26-24,22-25,8-15;56-64;MOUTAA LOUATI;CABY GUILLAUME;PICOT JADE;
ACJEUNES;04;CMS011;2024-01-21;00:00;0761509;LE HAVRE ESTUAIRE VOLLEY-BALL;0351417;RENNES ETUDIANTS CLUB; 0/2;10-25,22-25;32-50;MOUTAA LOUATI;PICOT JADE;CABY GUILLAUME;
ACJEUNES;04;CMS012;2024-01-21;00:00;0594680;TOURCOING VOLLEY-BALL L.M.;0351417;RENNES ETUDIANTS CLUB; 0/2;22-25,26-28;48-53;MOUTAA LOUATI;PICOT JADE;CABY GUILLAUME;
ACJEUNES;04;CMT010;2024-01-21;11:00;0622126;HARNES VOLLEY-BALL;0955773;AMICAL CS CORMEILLAIS; 2/0;25-7,25-16;50-23;SALLE RÉGIONALE MARÉCHAL;VANDENBEMDEN FRÉDÉRICK;SPYCHALA GREGORY;
ACJEUNES;04;CMT011;2024-01-21;00:00;0955773;AMICAL CS CORMEILLAIS;0491492;SPORTING CLUB DE L OUEST; 0/2;17-25,28-30;45-55;SALLE RÉGIONALE MARÉCHAL;VANDENBEMDEN FRÉDÉRICK;SPYCHALA GREGORY;
ACJEUNES;04;CMT012;2024-01-21;00:00;0622126;HARNES VOLLEY-BALL;0491492;SPORTING CLUB DE L OUEST; 2/0;25-16,25-11;50-27;SALLE RÉGIONALE MARÉCHAL;SPYCHALA GREGORY;VANDENBEMDEN FRÉDÉRICK;
