Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;02;BFA004;2023-11-12;11:00;0136761;ISTRES PROVENCE VOLLEY;0138311;BOUC-BEL-AIR VOLLEY-BALL; 2/1;14-25,25-23,16-14;55-62;GYMNASE PAUL CAVALLONI;COSTE ROBIN;;;
ACJEUNES;02;BFA005;2023-11-12;00:00;0138311;BOUC-BEL-AIR VOLLEY-BALL;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL; 2/0;25-22,25-23;50-45;GYMNASE PAUL CAVALLONI;COSTE ROBIN;;;
ACJEUNES;02;BFA006;2023-11-12;00:00;0136761;ISTRES PROVENCE VOLLEY;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL; 2/0;25-13,25-19;50-32;GYMNASE PAUL CAVALLONI;COSTE ROBIN;;;
ACJEUNES;02;BFB004;2023-11-12;11:00;0848651;VOLLEY BEAUCAIRE TARASCON (LE) GRES;0849374;ENTENTE RHONE OUVEZE V.B.; 2/0;25-8,25-10;50-18;CASSIN;DEBAGH REDWAN;;;
ACJEUNES;02;BFB005;2023-11-12;00:00;0849374;ENTENTE RHONE OUVEZE V.B.;0134290;MARTIGUES VOLLEY-BALL; 1/2;10-25,25-21,4-15;39-61;CASSIN;DEBAGH REDWAN;;;
ACJEUNES;02;BFB006;2023-11-12;00:00;0848651;VOLLEY BEAUCAIRE TARASCON (LE) GRES;0134290;MARTIGUES VOLLEY-BALL; 2/0;25-18,25-14;50-32;CASSIN;DEBAGH REDWAN;;;
ACJEUNES;02;BFC004;2023-11-12;11:00;0138350;COUDOUX VELAUX LA FARE VOLLEY-BALL;0136082;VITROLLES SPORTS VOLLEY-BALL; 0/2;23-25,25-27;48-52;GYMNASE ALBERT CAMUS;DUSSERRE ROMAIN;;;
ACJEUNES;02;BFC005;2023-11-12;00:00;0136082;VITROLLES SPORTS VOLLEY-BALL;0138032;PAYS D'AIX VENELLES V.B.; 1/2;21-25,25-17,7-15;53-57;GYMNASE ALBERT CAMUS;DUSSERRE ROMAIN;;;
ACJEUNES;02;BFC006;2023-11-12;00:00;0138350;COUDOUX VELAUX LA FARE VOLLEY-BALL;0138032;PAYS D'AIX VENELLES V.B.; 2/1;25-11,22-25,15-8;62-44;GYMNASE ALBERT CAMUS;DUSSERRE ROMAIN;;;
ACJEUNES;02;BFD004;2023-11-12;11:00;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE;0060008;MANDELIEU LA NAPOULE V.B.; 1/2;3-25,25-18,8-15;36-58;HALLE DES SPORTS;LECHAT CHRISTINE;;;
ACJEUNES;02;BFD005;2023-11-12;00:00;0060008;MANDELIEU LA NAPOULE V.B.;0067686;VOLERO LE CANNET COTE D'AZUR; 0/2;10-25,26-28;36-53;HALLE DES SPORTS;;;;
ACJEUNES;02;BFD006;2023-11-12;00:00;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE;0067686;VOLERO LE CANNET COTE D'AZUR; 0/2;11-25,10-25;21-50;HALLE DES SPORTS;;;;
ACJEUNES;02;BFE004;2023-11-12;11:00;0061297;RACING CLUB DE CANNES;0060036;PAYS DE GRASSE VOLLEY-BALL; 0/2;17-25,17-25;34-50;GYMNASE CARNOT;DELOUVRIER STEPHANIE;;;
