Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
LICA;01;PMAA001;2023-09-30;20:00;0062509;OLYMPIQUES ANTIBES JUAN PINS;0839557;FREJUS VAR VOLLEY; 1/3;15-25,11-25,26-24,17-25;69-99;BERTONE;TOUSSAINT ANDRE-LUC;LESAIN FROMENTIN LAETITIA;;
LICA;01;PMAA002;2023-09-30;20:30;0060008;MANDELIEU LA NAPOULE V.B.;0836296;DRAGUIGNAN UNION CLUB VAR VB; 3/0;25-23,25-18,25-18;75-59;LES MIMOSAS;TORRE PIETRO;HANOTEL LEO;;
LICA;01;PMAA003;2023-09-30;18:00;0067689;US CAGNES VOLLEY-BALL;0060007;AS CANNES VOLLEY-BALL; 3/1;25-21,23-25,25-10,25-17;98-73;JULES VERNE;CHAMOT DAMIEN;LIMACHER LIONEL;;
LICA;01;PMAA004;2023-09-30;20:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0062701;ASS SPORTIVE DE MONACO; 0/3;19-25,18-25,20-25;57-75;REN� FRIARD;THODENIUS MICHELLE;RUBIN THOMAS;;
