Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;01;JFH001;2023-11-12;11:00;0330014;J.S.A. BORDEAUX;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL; 0/2;20-25,23-25;43-50;SALLE MAITRE JEAN;BOREL GERY CLEA;GRIMONET LAURENCE;;
ACJEUNES;01;JFH002;2023-11-12;00:00;0337145;ASSOCIATION SPORTIVE ILLACAISE VOLLEY-BALL;0334980;UNION SPORTIVE TALENCAISE; 2/0;25-11,25-10;50-21;SALLE MAITRE JEAN;GRIMONET LAURENCE;BOREL GERY CLEA;;
ACJEUNES;01;JFH003;2023-11-12;00:00;0330014;J.S.A. BORDEAUX;0334980;UNION SPORTIVE TALENCAISE; 2/0;25-13,25-18;50-31;SALLE MAITRE JEAN;BOREL GERY CLEA;GRIMONET LAURENCE;;
ACJEUNES;01;JFI001;2023-11-12;11:00;0337242;ASS SPORT AMBARESIENNE;0335197;SPORT ATHLETIQUE MERIGNACAIS; 0/2;1-25,16-25;17-50;SALLE LACHAZE;REQUEDA SYLVAIN;PELAPRAT PATRICK;;
ACJEUNES;01;JFI002;2023-11-12;00:00;0335197;SPORT ATHLETIQUE MERIGNACAIS;0338605;CLUB MUNICIPAL FLOIRAC; 2/0;25-18,25-7;50-25;SALLE LACHAZE;PELAPRAT PATRICK;REQUEDA SYLVAIN;;
ACJEUNES;01;JFI003;2023-11-12;00:00;0337242;ASS SPORT AMBARESIENNE;0338605;CLUB MUNICIPAL FLOIRAC; 0/2;20-25,7-25;27-50;SALLE LACHAZE;REQUEDA SYLVAIN;PELAPRAT PATRICK;;
ACJEUNES;01;JFJ001;2023-11-12;09:30;0648734;LONS VOLLEY-CLUB DU MOULIN;0656864;TARBES ODOS PYRENEES VOLLEY-BALL; 2/0;25-22,25-16;50-38;SALLE BELLOCQ;BRAIN JEROME;GRAEFF PHILIPPE;;
ACJEUNES;01;JFJ002;2023-11-12;00:00;0656864;TARBES ODOS PYRENEES VOLLEY-BALL;0319689;A.S. DE L'UNION VOLLEY-BALL; 0/2;7-25,6-25;13-50;SALLE BELLOCQ;BRAIN JEROME;GRAEFF PHILIPPE;;
ACJEUNES;01;JFJ003;2023-11-12;00:00;0648734;LONS VOLLEY-CLUB DU MOULIN;0319689;A.S. DE L'UNION VOLLEY-BALL; 0/2;4-25,12-25;16-50;SALLE BELLOCQ;GRAEFF PHILIPPE;BRAIN JEROME;;
ACJEUNES;01;JFK001;2023-11-12;11:00;0491492;SPORTING CLUB DE L OUEST;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION; 0/2;5-25,5-25;10-50;CENTRE SPORTIF DE LA ROSERAIE;BOULEAU NATHALIE;VAUVERT ALICE;;
ACJEUNES;01;JFK002;2023-11-12;00:00;0444976;LES NEPTUNES NANTES VOLLEY ASSOCIATION;0377244;JOUE VOLLEY-BALL; 2/0;25-9,25-4;50-13;CENTRE SPORTIF DE LA ROSERAIE;VAUVERT ALICE;BOULEAU NATHALIE;;
ACJEUNES;01;JFK003;2023-11-12;00:00;0491492;SPORTING CLUB DE L OUEST;0377244;JOUE VOLLEY-BALL; 2/0;25-10,25-11;50-21;CENTRE SPORTIF DE LA ROSERAIE;VAUVERT ALICE;BOULEAU NATHALIE;;
ACJEUNES;01;JFL001;2023-11-12;11:00;0139175;AUBAGNE CARNOUX VOLLEY-BALL;0136761;ISTRES PROVENCE VOLLEY; 0/2;10-25,7-25;17-50;GYMNASE MOUREN;HARIOT JORIS;MATOS JEREMY;;
ACJEUNES;01;JFL002;2023-11-12;00:00;0136761;ISTRES PROVENCE VOLLEY;0842424;AVIGNON VOLLEY BALL; 2/0;25-10,25-5;50-15;GYMNASE MOUREN;MATOS JEREMY;HARIOT JORIS;;
ACJEUNES;01;JFL003;2023-11-12;00:00;0139175;AUBAGNE CARNOUX VOLLEY-BALL;0842424;AVIGNON VOLLEY BALL; 2/0;25-19,25-23;50-42;GYMNASE MOUREN;HARIOT JORIS;MATOS JEREMY;;
ACJEUNES;01;JFM001;2023-11-12;11:00;0067686;VOLERO LE CANNET COTE D'AZUR;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL; 2/0;25-4,25-5;50-9;MAILLAN;TOURNAIRE GUY;COURBOT NATHAN;;
ACJEUNES;01;JFM002;2023-11-12;00:00;0132365;AIX UNIVERSITE CLUB 13 VOLLEY-BALL;0066927;NICE VOLLEY-BALL; 0/2;19-25,10-25;29-50;MAILLAN;TOURNAIRE GUY;COURBOT NATHAN;;
ACJEUNES;01;JFM003;2023-11-12;00:00;0067686;VOLERO LE CANNET COTE D'AZUR;0066927;NICE VOLLEY-BALL; 2/0;25-18,25-6;50-24;MAILLAN;TOURNAIRE GUY;COURBOT NATHAN;;
ACJEUNES;01;JFN001;2023-11-12;15:00;0923959;AS.SP.VOLTAIRE CHATENAY;0788680;AS. SP DE SARTROUVILLE; 0/2;12-25,23-25;35-50;PIERRE BEREGOVOY;SERVIN STEED;;;
ACJEUNES;01;JFN002;2023-11-12;00:00;0788680;AS. SP DE SARTROUVILLE;0947039;ASS AMICALE SPORTIVE FRESNES; 2/0;25-11,25-9;50-20;PIERRE BEREGOVOY;SERVIN STEED;;;
ACJEUNES;01;JFN003;2023-11-12;00:00;0923959;AS.SP.VOLTAIRE CHATENAY;0947039;ASS AMICALE SPORTIVE FRESNES; 2/0;26-24,25-17;51-41;PIERRE BEREGOVOY;SERVIN STEED;;;
ACJEUNES;01;JFO001;2023-11-12;11:00;0777831;VC CHAMPS SUR MARNE;0750043;SPORTING CLUB NORD PARISIEN; 0/2;9-25,12-25;21-50;GYMNASE DU NESLES;FERNANDES LUCY;;;
ACJEUNES;01;JFO002;2023-11-12;00:00;0750043;SPORTING CLUB NORD PARISIEN;0917023;ENTENTE SPORTIVE YERROISE; 2/1;25-21,21-25,15-12;61-58;GYMNASE DU NESLES;FERNANDES LUCY;;;
ACJEUNES;01;JFO003;2023-11-12;00:00;0777831;VC CHAMPS SUR MARNE;0917023;ENTENTE SPORTIVE YERROISE; 0/2;15-25,24-26;39-51;GYMNASE DU NESLES;FERNANDES LUCY;;;
ACJEUNES;01;JFP001;2023-11-12;10:00;0941105;LIMEIL-BREVANNES VOLLEY-BALL;0929372;PLESSIS-ROBINSON VOLLEY-BALL; 0/2;2-25,12-25;14-50;GYMNASE GUIMIER;VITOSEVIC ALEKSANDRA;;;
ACJEUNES;01;JFP002;2023-11-12;00:00;0929372;PLESSIS-ROBINSON VOLLEY-BALL;0939167;ETOILE CLUB SP. COURNEUVIEN; 2/0;25-11,25-14;50-25;GYMNASE GUIMIER;VITOSEVIC ALEKSANDRA;;;
ACJEUNES;01;JFP003;2023-11-12;00:00;0941105;LIMEIL-BREVANNES VOLLEY-BALL;0939167;ETOILE CLUB SP. COURNEUVIEN; 0/2;19-25,18-25;37-50;GYMNASE GUIMIER;VITOSEVIC ALEKSANDRA;;;
