Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ABCCS;03;2FA011;2023-10-22;14:00;0319689;A.S. DE L'UNION VOLLEY-BALL;0348292;VOLLEY BALL DE GIGNAC;;;;C300;GOZLAN STEPHANE;LEGRAND OLIVIER;;
ABCCS;03;2FA012;2023-10-22;15:00;0136761;ISTRES PROVENCE VOLLEY;0817326;CASTRES MASSAGUEL VOLLEY BALL CLUB;;;;GYMNASE PAUL CAVALLONI;REJAEYAN EHSAN;EKWA NGANGNANG WILLY;;
ABCCS;03;2FA013;2023-10-22;15:00;0062701;ASS SPORTIVE DE MONACO;0839914;VOLLEY CLUB HYERES/PIERREFEU LA LONDE;;;;MONEGHETTI;BLANC EMMANUEL;RAT BENJAMIN;;
ABCCS;03;2FA014;2023-10-22;14:00;0061297;RACING CLUB DE CANNES 2 CFC;0067686;VOLERO LE CANNET COTE D'AZUR 2 CFC;;;;PALAIS DES VICTOIRES;SIEGL FREDERIC;CHAMOT DAMIEN;;
ABCCS;03;2FA015;2023-10-21;20:30;0349150;LATTES ASPTT MONTPELLIER V.A.C;0138032;PAYS D'AIX VENELLES V.B. 2;;;;BRIGITTE GEILER;MATHONNET THIBAUT;GAY PHILIPPE;;
