Entit�;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
LICA;04;PMAA013;2023-10-22;17:00;0067689;US CAGNES VOLLEY-BALL;0839557;FREJUS VAR VOLLEY;;;;JULES VERNE;GABRIELE JEAN-CLAUDE;TOUSSAINT ANDRE-LUC;;
LICA;04;PMAA014;2023-10-21;20:00;0060036;PAYS DE GRASSE VOLLEY-BALL;0060008;MANDELIEU LA NAPOULE V.B.;;;;LA CHENAIE;TOUSSAINT ANDRE-LUC;RUBIN THOMAS;;
LICA;04;PMAA015;2023-10-21;20:00;0062701;ASS SPORTIVE DE MONACO;0062509;OLYMPIQUES ANTIBES JUAN PINS;;;;MONEGHETTI;ALBERT DAVID;GABRIELE JEAN-CLAUDE;;
LICA;04;PMAA016;2023-10-21;20:00;0060007;AS CANNES VOLLEY-BALL;0836296;DRAGUIGNAN UNION CLUB VAR VB;;;;LES COTEAUX;COUDYSER MARC-ANTOINE;MORILLON LAURENT;;
