Entité;Jo;Match;Date;Heure;EQA_no;EQA_nom;EQB_no;EQB_nom;Set;Score;Total;Salle;Arb1;Arb2;
ACJEUNES;06;MFA016;2024-02-18;11:00;0668467;PERPIGNAN ROUSSILLON V.B;0136082;VITROLLES SPORTS VOLLEY-BALL;;;;GYMNASE ANDRE ALSINA;GARCIA SANDRINE;ROYO LINDA;
ACJEUNES;06;MFA017;2024-02-18;00:00;0136082;VITROLLES SPORTS VOLLEY-BALL;0693332;VOLLEY-BALL VILLEFRANCHE BEAUJOLAIS;;;;GYMNASE ANDRE ALSINA;;;
ACJEUNES;06;MFA018;2024-02-18;00:00;0668467;PERPIGNAN ROUSSILLON V.B;0693332;VOLLEY-BALL VILLEFRANCHE BEAUJOLAIS;;;;GYMNASE ANDRE ALSINA;;;
ACJEUNES;06;MFB016;2024-02-18;11:00;0067686;VOLERO LE CANNET COTE D'AZUR;0132346;MARIGNANE VOLLEY-BALL;;;;MAILLAN;;;
ACJEUNES;06;MFB017;2024-02-18;00:00;0132346;MARIGNANE VOLLEY-BALL;0917024;VAL D'YERRES VOLLEY 91;;;;MAILLAN;;;
ACJEUNES;06;MFB018;2024-02-18;00:00;0067686;VOLERO LE CANNET COTE D'AZUR;0917024;VAL D'YERRES VOLLEY 91;;;;MAILLAN;;;
ACJEUNES;06;MFC016;2024-02-18;11:00;0067689;US CAGNES VOLLEY-BALL;0388899;UN.SP.VALLEE DE LA GRESSE;;;;JULES VERNE;;;
ACJEUNES;06;MFC017;2024-02-18;00:00;0388899;UN.SP.VALLEE DE LA GRESSE;0117968;VOLLEY-BALL GRUISSAN;;;;JULES VERNE;;;
ACJEUNES;06;MFC018;2024-02-18;00:00;0067689;US CAGNES VOLLEY-BALL;0117968;VOLLEY-BALL GRUISSAN;;;;JULES VERNE;;;
ACJEUNES;06;MFD016;2024-02-18;11:00;0548751;VOLLEY BEACH-BALL PONT/MOUSSON;0957908;V.B. CLUB ERMONT;;;;CENTRE DES SPORTS BERNARD GUY;POLET BRUNO;SIMON LÉOPOLD;
ACJEUNES;06;MFD017;2024-02-18;00:00;0957908;V.B. CLUB ERMONT;0695668;VOLLEY BRON @ LYON LUMIERE;;;;CENTRE DES SPORTS BERNARD GUY;;;
ACJEUNES;06;MFD018;2024-02-18;00:00;0548751;VOLLEY BEACH-BALL PONT/MOUSSON;0695668;VOLLEY BRON @ LYON LUMIERE;;;;CENTRE DES SPORTS BERNARD GUY;;;
ACJEUNES;06;MFE016;2024-02-18;11:00;0579612;TERVILLE FLORANGE OLYMPIQUE;0674157;STRASBOURG UNIVERSITE CLUB;;;;GYMNASE MUNICIPAL;CHATY CHRISTINE;MAIAU MIKAELE;
ACJEUNES;06;MFE017;2024-02-18;00:00;0674157;STRASBOURG UNIVERSITE CLUB;0929372;PLESSIS-ROBINSON VOLLEY-BALL;;;;GYMNASE MUNICIPAL;;;
ACJEUNES;06;MFE018;2024-02-18;00:00;0579612;TERVILLE FLORANGE OLYMPIQUE;0929372;PLESSIS-ROBINSON VOLLEY-BALL;;;;GYMNASE MUNICIPAL;;;
ACJEUNES;06;MFF016;2024-02-18;11:00;0628929;VOLLEY CLUB HARNES;0941410;VIE AU GRAND AIR DE ST MAUR;;;;MARECHAL;DE PARMENTIER JEAN-CLAUDE;OUENOUGHI BOUBEKEUR;
ACJEUNES;06;MFF017;2024-02-18;00:00;0941410;VIE AU GRAND AIR DE ST MAUR;0686625;AS SP ENTREMONT RIXHEIM;;;;MARECHAL;;;
ACJEUNES;06;MFF018;2024-02-18;00:00;0628929;VOLLEY CLUB HARNES;0686625;AS SP ENTREMONT RIXHEIM;;;;MARECHAL;;;
ACJEUNES;06;MFG016;2024-02-18;11:00;0788680;AS. SP DE SARTROUVILLE;0449605;ST NAZAIRE VB ATLANTIQUE;;;;CARNOT;CARLOTTI PIERRE;BIBROWSKI KAMIL;
ACJEUNES;06;MFG017;2024-02-18;00:00;0449605;ST NAZAIRE VB ATLANTIQUE;0136761;ISTRES PROVENCE VOLLEY;;;;CARNOT;;;
ACJEUNES;06;MFG018;2024-02-18;00:00;0788680;AS. SP DE SARTROUVILLE;0136761;ISTRES PROVENCE VOLLEY;;;;CARNOT;;;
ACJEUNES;06;MFH016;2024-02-18;11:00;0757777;PUC VOLLEY-BALL;0596135;VOLLEY CLUB DE CAMBRAI;;;;CHARPY;;;
ACJEUNES;06;MFH017;2024-02-18;00:00;0596135;VOLLEY CLUB DE CAMBRAI;0319191;VOLLEY BALMA QUINT FONSEGRIVES;;;;CHARPY;;;
ACJEUNES;06;MFH018;2024-02-18;00:00;0757777;PUC VOLLEY-BALL;0319191;VOLLEY BALMA QUINT FONSEGRIVES;;;;CHARPY;;;
ACJEUNES;06;MFI016;2024-02-18;11:00;0286397;CHATEAUDUN VOLLEY-BALL;0912770;ASV - ARTS ET SPORTS A VILLEBON;;;;GYMNASE PASTEUR;;;
